identifier_id,actor_id,identifier_type,identifier_value,source_id,first_seen,last_seen,confidence,status,observation_id
IDENT_000026,ACT_0008,handle,FrostMoth,SRC_005113,2026-09-20T10:13:36Z,2026-09-01T00:00:00Z,0.89,active,
IDENT_000027,ACT_0008,handle,FrostMoth,SRC_005074,2026-09-24T10:13:36Z,2026-09-01T00:00:00Z,0.75,active,
IDENT_000028,ACT_0009,handle,BlackHarbor,SRC_001643,2026-07-26T04:53:06Z,2026-09-01T00:00:00Z,0.5,superseded,
IDENT_000029,ACT_0009,handle,BlackHarbor,SRC_005284,2026-07-26T04:53:06Z,2026-09-01T00:00:00Z,0.91,retired,OBS_010226
IDENT_000030,ACT_0009,handle,CrimsonReaper,SRC_004046,2026-10-04T00:00:00Z,2026-09-01T00:00:00Z,0.66,retired,
IDENT_000031,ACT_0009,handle,AshSignal52,SRC_004896,2026-10-15T00:00:00Z,2026-09-01T00:00:00Z,0.47,retired,
IDENT_000032,ACT_0009,handle,AshSignal52,SRC_001433,2026-10-17T00:00:00Z,2026-09-01T00:00:00Z,0.92,retired,
IDENT_000033,ACT_0009,handle,WraithHex25,SRC_000751,2026-09-27T00:00:00Z,2026-09-01T00:00:00Z,0.92,retired,
IDENT_000034,ACT_0010,handle,SilentFox,SRC_004939,2026-05-21T20:43:57Z,2026-09-01T00:00:00Z,0.61,superseded,
IDENT_000035,ACT_0010,handle,SilentFox,SRC_003186,2026-05-22T20:43:57Z,2026-09-01T00:00:00Z,0.7,superseded,OBS_007980
IDENT_000036,ACT_0010,handle,HavocSpire71,SRC_003131,2026-09-22T00:00:00Z,2026-09-01T00:00:00Z,0.79,active,
IDENT_000037,ACT_0010,handle,HavocSpire71,SRC_001335,2026-09-20T00:00:00Z,2026-09-01T00:00:00Z,0.51,active,OBS_003060
IDENT_000038,ACT_0010,handle,HavocSpire71,SRC_000247,2026-09-22T00:00:00Z,2026-09-01T00:00:00Z,0.66,active,
IDENT_000039,ACT_0011,handle,StormMarrow12,SRC_001918,2026-04-26T12:53:27Z,2026-09-01T00:00:00Z,0.58,superseded,
IDENT_000040,ACT_0011,handle,IronSpecter,SRC_003588,2026-10-28T00:00:00Z,2026-09-01T00:00:00Z,0.76,active,OBS_010122
IDENT_000041,ACT_0011,handle,IronSpecter,SRC_003210,2026-10-30T00:00:00Z,2026-09-01T00:00:00Z,0.66,active,
IDENT_000042,ACT_0012,handle,ObsidianRoot49,SRC_005581,2024-12-12T10:37:19Z,2025-01-16T10:37:19Z,0.82,retired,
IDENT_000043,ACT_0012,handle,CipherSpire,SRC_000274,2025-02-05T10:37:19Z,2025-10-31T10:37:19Z,0.58,active,
IDENT_000044,ACT_0012,handle,CipherSpire,SRC_005339,2025-02-07T10:37:19Z,2025-10-29T10:37:19Z,0.71,active,
IDENT_000045,ACT_0013,handle,VectorPulse,SRC_001909,2026-07-08T09:25:01Z,2026-09-01T00:00:00Z,0.95,retired,
IDENT_000046,ACT_0013,handle,VectorPulse,SRC_000507,2026-07-08T09:25:01Z,2026-09-01T00:00:00Z,0.47,retired,
IDENT_000047,ACT_0013,handle,VectorPulse,SRC_004671,2026-07-04T09:25:01Z,2026-09-01T00:00:00Z,0.63,superseded,
IDENT_000048,ACT_0013,handle,VectorNode,SRC_003688,2026-10-19T00:00:00Z,2026-09-01T00:00:00Z,0.74,superseded,
IDENT_000049,ACT_0013,handle,VectorNode,SRC_003313,2026-10-18T00:00:00Z,2026-09-01T00:00:00Z,0.72,retired,OBS_007473
IDENT_000050,ACT_0013,handle,NightWarden,SRC_004635,2026-09-20T00:00:00Z,2026-09-01T00:00:00Z,0.72,superseded,
IDENT_000051,ACT_0014,handle,NightLedger,SRC_003125,2024-01-11T02:17:28Z,2024-10-30T02:17:28Z,0.6,retired,OBS_008090
IDENT_000052,ACT_0014,handle,HavocHollow,SRC_002971,2024-12-22T02:17:28Z,2025-10-09T02:17:28Z,0.78,active,
IDENT_000053,ACT_0015,handle,NullCipher,SRC_004537,2025-10-23T12:12:24Z,2026-09-01T00:00:00Z,0.34,retired,
IDENT_000054,ACT_0015,handle,NullCipher,SRC_001804,2025-10-19T12:12:24Z,2026-09-01T00:00:00Z,0.59,superseded,OBS_008181
IDENT_000055,ACT_0015,handle,IronFalcon73,SRC_001096,2026-10-27T00:00:00Z,2026-09-01T00:00:00Z,0.69,superseded,OBS_010139
IDENT_000056,ACT_0015,handle,IronFalcon73,SRC_004981,2026-11-01T00:00:00Z,2026-09-01T00:00:00Z,0.8,superseded,
IDENT_000057,ACT_0015,handle,SilverLedger,SRC_005131,2026-10-13T00:00:00Z,2026-09-01T00:00:00Z,0.85,retired,OBS_013577
IDENT_000058,ACT_0016,handle,PhantomHollow,SRC_001079,2025-03-08T15:47:40Z,2025-08-18T15:47:40Z,0.5,retired,OBS_011149
IDENT_000059,ACT_0016,handle,PhantomHollow,SRC_005271,2025-03-12T15:47:40Z,2025-08-21T15:47:40Z,0.82,superseded,
IDENT_000060,ACT_0016,handle,ChromeGrid,SRC_005137,2025-09-05T15:47:40Z,2026-02-20T15:47:40Z,0.75,active,OBS_012525
IDENT_000061,ACT_0017,handle,ChromeSignal,SRC_003273,2024-12-01T11:28:43Z,2025-06-18T11:28:43Z,0.83,superseded,OBS_010399
IDENT_000062,ACT_0017,handle,ChromeSignal,SRC_001847,2024-12-04T11:28:43Z,2025-06-13T11:28:43Z,0.4,superseded,OBS_013947
IDENT_000063,ACT_0017,handle,UmbraSpire59,SRC_000792,2025-08-08T11:28:43Z,2026-07-25T11:28:43Z,0.3,retired,
IDENT_000064,ACT_0017,handle,UmbraSpire59,SRC_000400,2025-08-12T11:28:43Z,2026-07-22T11:28:43Z,0.96,superseded,
IDENT_000065,ACT_0017,handle,UmbraSpire59,SRC_002705,2025-08-12T11:28:43Z,2026-07-28T11:28:43Z,0.66,superseded,
IDENT_000066,ACT_0017,handle,BlackCipher,SRC_004119,2026-08-31T11:28:43Z,2026-09-01T00:00:00Z,0.77,active,
IDENT_000067,ACT_0018,handle,DriftTrace,SRC_000097,2024-06-09T18:40:31Z,2025-10-04T18:40:31Z,0.56,superseded,OBS_012074
IDENT_000068,ACT_0018,handle,GreyRunner,SRC_003964,2025-10-19T18:40:31Z,2026-09-01T00:00:00Z,0.69,retired,
IDENT_000069,ACT_0019,handle,VoidDrift,SRC_000792,2025-08-17T04:42:59Z,2026-09-01T00:00:00Z,0.5,retired,OBS_006845
IDENT_000070,ACT_0019,handle,EmberWolf,SRC_004969,2026-10-14T00:00:00Z,2026-09-01T00:00:00Z,0.7,active,
IDENT_000071,ACT_0020,handle,ChromeHarbor,SRC_000881,2025-07-14T15:43:16Z,2025-10-25T15:43:16Z,0.79,superseded,OBS_005234
IDENT_000072,ACT_0020,handle,ChromeHarbor,SRC_002850,2025-07-11T15:43:16Z,2025-10-26T15:43:16Z,0.86,superseded,OBS_000230
IDENT_000073,ACT_0020,handle,BlackRoot71,SRC_001156,2025-11-04T15:43:16Z,2026-02-28T15:43:16Z,0.82,superseded,
IDENT_000074,ACT_0020,handle,ZeroOrbit,SRC_005194,2026-03-13T15:43:16Z,2026-09-01T00:00:00Z,0.68,superseded,OBS_007204
IDENT_000075,ACT_0020,handle,ZeroOrbit,SRC_003232,2026-03-11T15:43:16Z,2026-09-01T00:00:00Z,0.68,retired,
IDENT_000076,ACT_0020,handle,EmberNode,SRC_002901,2026-09-19T00:00:00Z,2026-09-01T00:00:00Z,0.51,retired,
IDENT_000077,ACT_0020,handle,EmberNode,SRC_004863,2026-09-18T00:00:00Z,2026-09-01T00:00:00Z,0.82,retired,OBS_005025
IDENT_000078,ACT_0020,handle,EmberNode,SRC_004295,2026-09-23T00:00:00Z,2026-09-01T00:00:00Z,0.88,superseded,
IDENT_000079,ACT_0020,handle,NightCipher,SRC_002844,2026-10-31T00:00:00Z,2026-09-01T00:00:00Z,0.63,active,
IDENT_000080,ACT_0021,handle,ShadowForge,SRC_002804,2026-07-27T20:32:16Z,2026-09-01T00:00:00Z,0.56,retired,OBS_007448
IDENT_000081,ACT_0021,handle,ShadowForge,SRC_001300,2026-07-31T20:32:16Z,2026-09-01T00:00:00Z,0.83,retired,OBS_000412
IDENT_000082,ACT_0021,handle,ShadowForge,SRC_002337,2026-07-30T20:32:16Z,2026-09-01T00:00:00Z,0.72,retired,
IDENT_000083,ACT_0021,handle,NullPulse,SRC_002766,2026-09-21T00:00:00Z,2026-09-01T00:00:00Z,0.4,retired,
IDENT_000084,ACT_0021,handle,StormWolf89,SRC_003458,2026-10-03T00:00:00Z,2026-09-01T00:00:00Z,0.87,superseded,OBS_012758
IDENT_000085,ACT_0021,handle,StormWolf89,SRC_000875,2026-09-29T00:00:00Z,2026-09-01T00:00:00Z,0.61,retired,
IDENT_000086,ACT_0021,handle,StormWolf89,SRC_002282,2026-10-04T00:00:00Z,2026-09-01T00:00:00Z,0.76,superseded,
IDENT_000087,ACT_0021,handle,StormLedger,SRC_003415,2026-09-13T00:00:00Z,2026-09-01T00:00:00Z,0.99,retired,OBS_011723
IDENT_000088,ACT_0021,handle,StormLedger,SRC_005715,2026-09-13T00:00:00Z,2026-09-01T00:00:00Z,0.63,superseded,OBS_005321
IDENT_000089,ACT_0021,handle,StormLedger,SRC_001177,2026-09-14T00:00:00Z,2026-09-01T00:00:00Z,0.71,superseded,OBS_011994
IDENT_000090,ACT_0022,handle,CrimsonVector47,SRC_002287,2024-03-11T11:56:59Z,2025-07-12T11:56:59Z,0.93,active,
IDENT_000091,ACT_0023,handle,GreyOrbit,SRC_002437,2026-04-13T00:01:56Z,2026-09-01T00:00:00Z,0.7,retired,OBS_007775
IDENT_000092,ACT_0023,handle,GreySentinel,SRC_000182,2026-09-10T00:00:00Z,2026-09-01T00:00:00Z,0.82,retired,OBS_011122
IDENT_000093,ACT_0023,handle,SilverPulse,SRC_000159,2026-10-02T00:00:00Z,2026-09-01T00:00:00Z,0.46,superseded,OBS_011358
IDENT_000094,ACT_0023,handle,NullEcho,SRC_005638,2026-10-27T00:00:00Z,2026-09-01T00:00:00Z,0.69,active,OBS_002467
IDENT_000095,ACT_0024,handle,WraithSpire,SRC_001955,2025-08-16T00:47:04Z,2026-08-18T00:47:04Z,0.67,superseded,OBS_003984
IDENT_000096,ACT_0024,handle,OnyxEcho,SRC_001534,2026-10-16T00:47:04Z,2026-09-01T00:00:00Z,0.59,superseded,
IDENT_000097,ACT_0024,handle,VectorHarbor,SRC_005032,2026-10-26T00:00:00Z,2026-09-01T00:00:00Z,0.7,active,OBS_006569
IDENT_000098,ACT_0025,handle,DarkMarrow,SRC_005267,2026-05-09T13:33:59Z,2026-09-01T00:00:00Z,0.71,superseded,
IDENT_000099,ACT_0025,handle,TalonEcho,SRC_001540,2026-09-26T00:00:00Z,2026-09-01T00:00:00Z,0.75,superseded,OBS_000585
IDENT_000100,ACT_0025,handle,TalonEcho,SRC_004371,2026-09-24T00:00:00Z,2026-09-01T00:00:00Z,0.73,superseded,OBS_000496
IDENT_000101,ACT_0025,handle,ChromeOrbit,SRC_003814,2026-09-03T00:00:00Z,2026-09-01T00:00:00Z,0.63,retired,
IDENT_000102,ACT_0025,handle,GhostSentinel,SRC_001591,2026-10-29T00:00:00Z,2026-09-01T00:00:00Z,0.91,superseded,
IDENT_000103,ACT_0026,handle,ChromeMarrow,SRC_002314,2025-07-17T18:43:51Z,2025-09-03T18:43:51Z,0.94,retired,OBS_007329
IDENT_000104,ACT_0026,handle,RuneCrow,SRC_000019,2025-09-06T18:43:51Z,2026-02-19T18:43:51Z,0.8,retired,OBS_007966
IDENT_000105,ACT_0026,handle,BlackDrift,SRC_003876,2026-02-21T18:43:51Z,2026-09-01T00:00:00Z,0.84,superseded,
IDENT_000106,ACT_0026,handle,ZeroFox,SRC_005022,2026-10-27T00:00:00Z,2026-09-01T00:00:00Z,0.76,active,
IDENT_000107,ACT_0026,handle,ZeroFox,SRC_000875,2026-10-24T00:00:00Z,2026-09-01T00:00:00Z,0.8,active,
IDENT_000108,ACT_0027,handle,RuneWarden,SRC_003051,2024-04-18T01:12:14Z,2024-06-17T01:12:14Z,0.48,retired,OBS_005170
IDENT_000109,ACT_0027,handle,RuneWarden,SRC_002107,2024-04-20T01:12:14Z,2024-06-19T01:12:14Z,0.67,superseded,OBS_009134
IDENT_000110,ACT_0027,handle,CrimsonWolf,SRC_004610,2024-07-26T01:12:14Z,2025-10-12T01:12:14Z,0.73,superseded,
IDENT_000111,ACT_0028,handle,OnyxPulse,SRC_003515,2024-12-21T00:39:48Z,2025-05-08T00:39:48Z,0.8,active,
IDENT_000112,ACT_0029,handle,GhostShade,SRC_002553,2024-05-07T22:51:37Z,2025-04-20T22:51:37Z,0.81,retired,OBS_012235
IDENT_000113,ACT_0029,handle,ChromeHex39,SRC_002437,2025-05-10T22:51:37Z,2026-03-03T22:51:37Z,0.51,active,
IDENT_000114,ACT_0030,handle,CrimsonForge,SRC_005487,2024-06-07T21:36:22Z,2024-12-03T21:36:22Z,0.59,superseded,OBS_014425
IDENT_000115,ACT_0030,handle,CrimsonForge,SRC_005537,2024-06-09T21:36:22Z,2024-12-03T21:36:22Z,0.75,retired,
IDENT_000116,ACT_0030,handle,SilentOrbit,SRC_002798,2025-01-11T21:36:22Z,2025-08-28T21:36:22Z,0.53,retired,OBS_011865
IDENT_000117,ACT_0030,handle,SilentOrbit,SRC_004186,2025-01-09T21:36:22Z,2025-08-30T21:36:22Z,0.89,superseded,
IDENT_000118,ACT_0030,handle,OnyxRoot,SRC_001858,2025-10-05T21:36:22Z,2026-08-21T21:36:22Z,0.8,active,
IDENT_000119,ACT_0030,handle,OnyxRoot,SRC_005763,2025-10-06T21:36:22Z,2026-08-23T21:36:22Z,0.47,active,OBS_011524
IDENT_000120,ACT_0031,handle,StormMarrow37,SRC_005617,2025-03-11T19:36:25Z,2025-07-29T19:36:25Z,0.9,retired,
IDENT_000121,ACT_0031,handle,WraithWarden,SRC_001826,2025-08-21T19:36:25Z,2026-03-09T19:36:25Z,0.94,retired,
IDENT_000122,ACT_0031,handle,WraithWarden,SRC_004665,2025-08-23T19:36:25Z,2026-03-11T19:36:25Z,0.97,retired,OBS_010081
IDENT_000123,ACT_0031,handle,RogueReaper,SRC_005201,2026-04-01T19:36:25Z,2026-09-01T00:00:00Z,0.89,active,OBS_002194
IDENT_000124,ACT_0032,handle,RuneEcho,SRC_004990,2025-07-21T17:55:46Z,2026-07-25T17:55:46Z,0.49,superseded,OBS_011080
IDENT_000125,ACT_0032,handle,RuneEcho,SRC_003093,2025-07-23T17:55:46Z,2026-07-29T17:55:46Z,0.74,superseded,OBS_009754
IDENT_000126,ACT_0032,handle,RuneEcho,SRC_003541,2025-07-22T17:55:46Z,2026-07-30T17:55:46Z,0.9,superseded,OBS_001054
IDENT_000127,ACT_0032,handle,VoidHollow,SRC_002148,2026-07-29T17:55:46Z,2026-09-01T00:00:00Z,0.92,active,
IDENT_000128,ACT_0032,handle,VoidHollow,SRC_004457,2026-07-28T17:55:46Z,2026-09-01T00:00:00Z,0.87,active,OBS_001548
IDENT_000129,ACT_0033,handle,TalonSentinel,SRC_005213,2025-08-02T01:20:48Z,2026-02-09T01:20:48Z,0.62,active,
IDENT_000130,ACT_0033,handle,TalonSentinel,SRC_001992,2025-07-29T01:20:48Z,2026-02-09T01:20:48Z,0.83,active,OBS_004621
IDENT_000131,ACT_0034,handle,DarkVector32,SRC_003438,2024-11-23T10:59:17Z,2025-08-31T10:59:17Z,0.42,superseded,OBS_014014
IDENT_000132,ACT_0034,handle,HavocSentinel54,SRC_003535,2025-10-05T10:59:17Z,2026-09-01T00:00:00Z,0.68,superseded,OBS_002592
IDENT_000133,ACT_0034,handle,PhantomOrbit,SRC_003410,2026-10-14T00:00:00Z,2026-09-01T00:00:00Z,0.79,retired,
IDENT_000134,ACT_0034,handle,ObsidianMoth89,SRC_000842,2026-10-04T00:00:00Z,2026-09-01T00:00:00Z,0.75,active,
IDENT_000135,ACT_0035,handle,CrimsonMoth,SRC_002053,2024-04-24T22:04:42Z,2025-05-11T22:04:42Z,0.78,retired,OBS_013051
IDENT_000136,ACT_0035,handle,RogueLedger,SRC_002885,2025-06-19T22:04:42Z,2026-09-01T00:00:00Z,0.52,superseded,
IDENT_000137,ACT_0035,handle,BlackReaper60,SRC_002326,2026-10-31T00:00:00Z,2026-09-01T00:00:00Z,0.7,retired,OBS_013197
IDENT_000138,ACT_0035,handle,StormDrift,SRC_002258,2026-10-09T00:00:00Z,2026-09-01T00:00:00Z,0.61,superseded,
IDENT_000139,ACT_0035,handle,RogueDrift,SRC_001838,2026-10-30T00:00:00Z,2026-09-01T00:00:00Z,0.71,superseded,
IDENT_000140,ACT_0035,handle,RogueDrift,SRC_002657,2026-10-29T00:00:00Z,2026-09-01T00:00:00Z,0.79,superseded,OBS_011701
IDENT_000141,ACT_0036,handle,TalonSpire,SRC_003776,2026-04-09T18:10:40Z,2026-09-01T00:00:00Z,0.66,retired,OBS_011766
IDENT_000142,ACT_0036,handle,TalonSpire,SRC_004854,2026-04-11T18:10:40Z,2026-09-01T00:00:00Z,0.61,retired,OBS_009861
IDENT_000143,ACT_0036,handle,TalonSpire,SRC_000819,2026-04-14T18:10:40Z,2026-09-01T00:00:00Z,0.84,superseded,OBS_006416
IDENT_000144,ACT_0036,handle,OnyxHex,SRC_000034,2026-09-14T00:00:00Z,2026-09-01T00:00:00Z,0.67,retired,OBS_011868
IDENT_000145,ACT_0036,handle,IronMarrow,SRC_000551,2026-10-25T00:00:00Z,2026-09-01T00:00:00Z,0.73,retired,OBS_010925
IDENT_000146,ACT_0037,handle,AshMoth,SRC_002848,2024-09-11T20:05:11Z,2024-11-18T20:05:11Z,0.91,superseded,
IDENT_000147,ACT_0037,handle,AshMoth,SRC_004491,2024-09-11T20:05:11Z,2024-11-20T20:05:11Z,0.69,superseded,OBS_000802
IDENT_000148,ACT_0037,handle,VoidMoth,SRC_004964,2025-01-03T20:05:11Z,2025-07-24T20:05:11Z,0.83,retired,OBS_000802
IDENT_000149,ACT_0038,handle,VectorVector,SRC_001440,2025-08-17T11:07:27Z,2025-10-19T11:07:27Z,0.79,retired,OBS_008897
IDENT_000150,ACT_0038,handle,CrimsonLedger,SRC_002675,2025-11-14T11:07:27Z,2026-07-19T11:07:27Z,0.51,active,OBS_004574
IDENT_000151,ACT_0038,handle,CrimsonLedger,SRC_003842,2025-11-13T11:07:27Z,2026-07-17T11:07:27Z,0.89,active,OBS_014044
IDENT_000152,ACT_0039,handle,UmbraWarden,SRC_002768,2026-05-18T04:35:29Z,2026-07-03T04:35:29Z,0.77,retired,OBS_001687
IDENT_000153,ACT_0039,handle,UmbraWarden,SRC_005204,2026-05-16T04:35:29Z,2026-07-02T04:35:29Z,0.83,superseded,OBS_000516
IDENT_000154,ACT_0040,handle,FrostWolf,SRC_004077,2025-05-18T18:08:11Z,2025-11-18T18:08:11Z,0.57,retired,OBS_013722
IDENT_000155,ACT_0040,handle,ObsidianHex,SRC_004271,2026-01-08T18:08:11Z,2026-09-01T00:00:00Z,0.85,retired,OBS_001679
IDENT_000156,ACT_0040,handle,StormPulse,SRC_001892,2026-10-02T00:00:00Z,2026-09-01T00:00:00Z,0.43,superseded,
IDENT_000157,ACT_0040,handle,StormPulse,SRC_000111,2026-10-02T00:00:00Z,2026-09-01T00:00:00Z,0.55,retired,
IDENT_000158,ACT_0040,handle,RuneMoth,SRC_003699,2026-10-15T00:00:00Z,2026-09-01T00:00:00Z,0.83,retired,
IDENT_000159,ACT_0040,handle,ChromeShade,SRC_000991,2026-10-01T00:00:00Z,2026-09-01T00:00:00Z,0.4,active,OBS_000653
IDENT_000160,ACT_0040,handle,ChromeShade,SRC_002658,2026-10-01T00:00:00Z,2026-09-01T00:00:00Z,0.53,active,
IDENT_000161,ACT_0041,handle,RogueSpire80,SRC_002896,2024-12-23T19:31:51Z,2025-10-30T19:31:51Z,0.78,active,
IDENT_000162,ACT_0042,handle,ObsidianWarden,SRC_004890,2025-05-09T00:56:31Z,2025-06-25T00:56:31Z,0.88,superseded,OBS_014180
IDENT_000163,ACT_0042,handle,AshFox60,SRC_003911,2025-06-26T00:56:31Z,2025-10-27T00:56:31Z,0.81,retired,OBS_003186
IDENT_000164,ACT_0042,handle,CipherFalcon,SRC_001756,2025-10-28T00:56:31Z,2026-07-26T00:56:31Z,0.7,active,OBS_005496
IDENT_000165,ACT_0043,handle,UmbraRoot,SRC_005844,2025-02-21T22:06:12Z,2026-04-10T22:06:12Z,0.33,retired,OBS_002791
IDENT_000166,ACT_0043,handle,UmbraRoot,SRC_004997,2025-02-20T22:06:12Z,2026-04-19T22:06:12Z,0.61,superseded,
IDENT_000167,ACT_0043,handle,CrimsonCrow,SRC_001231,2026-06-08T22:06:12Z,2026-09-01T00:00:00Z,0.77,active,OBS_013101
IDENT_000168,ACT_0043,handle,CrimsonCrow,SRC_001029,2026-06-07T22:06:12Z,2026-09-01T00:00:00Z,0.92,active,OBS_006763
IDENT_000169,ACT_0044,handle,GreyMoth,SRC_005482,2024-11-28T18:00:37Z,2026-01-31T18:00:37Z,0.87,superseded,
IDENT_000170,ACT_0044,handle,GreyMoth,SRC_005643,2024-11-28T18:00:37Z,2026-01-27T18:00:37Z,0.3,retired,OBS_014068
IDENT_000171,ACT_0044,handle,GreyMoth,SRC_002645,2024-11-24T18:00:37Z,2026-02-05T18:00:37Z,0.82,superseded,OBS_011178
IDENT_000172,ACT_0044,handle,NightSentinel32,SRC_004362,2026-03-13T18:00:37Z,2026-07-20T18:00:37Z,0.84,retired,
IDENT_000173,ACT_0044,handle,SilentNode,SRC_003889,2026-09-16T18:00:37Z,2026-09-01T00:00:00Z,0.97,active,OBS_000736
IDENT_000174,ACT_0045,handle,VectorCrow,SRC_003793,2024-12-01T07:17:31Z,2025-03-24T07:17:31Z,0.81,retired,
IDENT_000175,ACT_0045,handle,UmbraMarrow,SRC_001583,2025-04-30T07:17:31Z,2025-11-12T07:17:31Z,0.72,retired,
IDENT_000176,ACT_0045,handle,PhantomWolf,SRC_005198,2025-11-15T07:17:31Z,2026-09-01T00:00:00Z,0.76,superseded,
IDENT_000177,ACT_0045,handle,PhantomWolf,SRC_005608,2025-11-15T07:17:31Z,2026-09-01T00:00:00Z,0.96,superseded,OBS_009195
IDENT_000178,ACT_0046,handle,ObsidianFalcon,SRC_004393,2025-09-07T14:13:34Z,2026-01-19T14:13:34Z,0.76,superseded,
IDENT_000179,ACT_0046,handle,PhantomGrid,SRC_003652,2026-01-21T14:13:34Z,2026-06-30T14:13:34Z,0.86,superseded,
IDENT_000180,ACT_0046,handle,PhantomGrid,SRC_002002,2026-01-23T14:13:34Z,2026-06-25T14:13:34Z,0.87,superseded,OBS_010214
IDENT_000181,ACT_0046,handle,PhantomGrid,SRC_001142,2026-01-22T14:13:34Z,2026-06-27T14:13:34Z,0.89,superseded,
IDENT_000182,ACT_0046,handle,VectorSentinel,SRC_003593,2026-06-30T14:13:34Z,2026-09-01T00:00:00Z,0.76,retired,
IDENT_000183,ACT_0046,handle,WraithHarbor,SRC_004943,2026-10-10T00:00:00Z,2026-09-01T00:00:00Z,0.86,active,
IDENT_000184,ACT_0047,handle,StormFox,SRC_002004,2024-08-09T22:38:20Z,2024-10-14T22:38:20Z,0.56,retired,
IDENT_000185,ACT_0047,handle,StormFox,SRC_003797,2024-08-09T22:38:20Z,2024-10-13T22:38:20Z,0.48,retired,OBS_010818
IDENT_000186,ACT_0047,handle,StormFox,SRC_004805,2024-08-13T22:38:20Z,2024-10-22T22:38:20Z,0.54,retired,
IDENT_000187,ACT_0047,handle,AshForge54,SRC_001866,2024-11-19T22:38:20Z,2026-02-12T22:38:20Z,0.89,active,
IDENT_000188,ACT_0048,handle,CrimsonTrace,SRC_002405,2024-08-04T21:47:44Z,2025-11-06T21:47:44Z,0.63,active,
IDENT_000189,ACT_0048,handle,CrimsonTrace,SRC_002244,2024-08-04T21:47:44Z,2025-11-04T21:47:44Z,0.33,active,OBS_005827
