transaction_id,from_wallet,to_wallet,timestamp,amount,currency,transaction_type,source,confidence,actor_from,actor_to,transaction_cluster,risk_signal
TX_000011,WALLET_SYN_0014,WALLET_SYN_0192,2024-12-19T04:37:32Z,1.409378,BTC_SIM,transfer,SRC_003965,0.59,ACT_0004,,CLUSTER_MEDI_ACT_0004_ACT_0022,medium
TX_000012,WALLET_SYN_0192,WALLET_SYN_0054,2024-12-27T04:37:32Z,0.156971,BTC_SIM,transfer,SRC_004968,0.59,,ACT_0022,CLUSTER_MEDI_ACT_0004_ACT_0022,medium
TX_000013,WALLET_SYN_0192,WALLET_SYN_0054,2024-12-23T04:37:32Z,1.117429,ETH_SIM,transfer,SRC_002074,0.76,,ACT_0022,CLUSTER_MEDI_ACT_0004_ACT_0022,medium
TX_000014,WALLET_SYN_0192,WALLET_SYN_0054,2024-12-25T04:37:32Z,2.198831,BTC_SIM,transfer,SRC_004481,0.29,,ACT_0022,CLUSTER_MEDI_ACT_0004_ACT_0022,medium
TX_000015,WALLET_SYN_0192,WALLET_SYN_0054,2024-12-17T04:37:32Z,1.52428,USDT_SIM,transfer,SRC_005100,0.67,,ACT_0022,CLUSTER_MEDI_ACT_0004_ACT_0022,medium
TX_000016,WALLET_SYN_0192,WALLET_SYN_0054,2024-12-29T04:37:32Z,0.222586,BTC_SIM,transfer,SRC_004980,0.73,,ACT_0022,CLUSTER_MEDI_ACT_0004_ACT_0022,medium
TX_000017,WALLET_SYN_0159,WALLET_SYN_0138,2026-06-11T18:00:37Z,1.007547,USDT_SIM,transfer,SRC_001991,0.74,ACT_0015,,CLUSTER_SHAR_ACT_0015_ACT_0037,medium
TX_000018,WALLET_SYN_0159,WALLET_SYN_0138,2026-06-17T18:00:37Z,1.477316,USDT_SIM,transfer,SRC_001508,0.85,ACT_0015,,CLUSTER_SHAR_ACT_0015_ACT_0037,medium
TX_000019,WALLET_SYN_0159,WALLET_SYN_0138,2026-06-14T18:00:37Z,2.159211,BTC_SIM,transfer,SRC_000807,0.4,ACT_0015,,CLUSTER_SHAR_ACT_0015_ACT_0037,medium
TX_000020,WALLET_SYN_0159,WALLET_SYN_0138,2026-06-16T18:00:37Z,0.106495,USDT_SIM,transfer,SRC_003215,0.59,ACT_0015,,CLUSTER_SHAR_ACT_0015_ACT_0037,medium
TX_000021,WALLET_SYN_0159,WALLET_SYN_0138,2026-06-18T18:00:37Z,1.000146,BTC_SIM,transfer,SRC_005347,0.52,ACT_0015,,CLUSTER_SHAR_ACT_0015_ACT_0037,medium
TX_000022,WALLET_SYN_0138,WALLET_SYN_0002,2026-06-19T18:00:37Z,1.532968,BTC_SIM,transfer,SRC_002165,0.94,,ACT_0037,CLUSTER_SHAR_ACT_0015_ACT_0037,medium
TX_000023,WALLET_SYN_0138,WALLET_SYN_0002,2026-06-18T18:00:37Z,0.817412,USDT_SIM,transfer,SRC_004192,0.56,,ACT_0037,CLUSTER_SHAR_ACT_0015_ACT_0037,medium
TX_000024,WALLET_SYN_0138,WALLET_SYN_0002,2026-06-25T18:00:37Z,0.106035,USDT_SIM,transfer,SRC_003716,0.42,,ACT_0037,CLUSTER_SHAR_ACT_0015_ACT_0037,medium
TX_000025,WALLET_SYN_0138,WALLET_SYN_0002,2026-06-16T18:00:37Z,1.29207,BTC_SIM,transfer,SRC_004452,0.38,,ACT_0037,CLUSTER_SHAR_ACT_0015_ACT_0037,medium
TX_000026,WALLET_SYN_0138,WALLET_SYN_0002,2026-06-22T18:00:37Z,1.238105,BTC_SIM,transfer,SRC_005835,0.78,,ACT_0037,CLUSTER_SHAR_ACT_0015_ACT_0037,medium
TX_000027,WALLET_SYN_0034,WALLET_SYN_0009,2024-11-03T08:56:39Z,0.729603,BTC_SIM,transfer,SRC_005019,0.85,ACT_0025,,CLUSTER_STRO_ACT_0025_ACT_0047,medium
TX_000028,WALLET_SYN_0034,WALLET_SYN_0009,2024-11-08T08:56:39Z,2.340399,ETH_SIM,transfer,SRC_005071,0.8,ACT_0025,,CLUSTER_STRO_ACT_0025_ACT_0047,medium
TX_000029,WALLET_SYN_0009,WALLET_SYN_0146,2024-11-18T08:56:39Z,1.475871,BTC_SIM,transfer,SRC_000939,0.29,,ACT_0047,CLUSTER_STRO_ACT_0025_ACT_0047,medium
TX_000030,WALLET_SYN_0009,WALLET_SYN_0146,2024-11-18T08:56:39Z,0.886149,ETH_SIM,transfer,SRC_004623,0.92,,ACT_0047,CLUSTER_STRO_ACT_0025_ACT_0047,medium
TX_000031,WALLET_SYN_0009,WALLET_SYN_0146,2024-11-21T08:56:39Z,0.633611,BTC_SIM,transfer,SRC_004161,0.3,,ACT_0047,CLUSTER_STRO_ACT_0025_ACT_0047,medium
TX_000032,WALLET_SYN_0009,WALLET_SYN_0146,2024-11-24T08:56:39Z,1.541075,ETH_SIM,transfer,SRC_000147,0.64,,ACT_0047,CLUSTER_STRO_ACT_0025_ACT_0047,medium
TX_000033,WALLET_SYN_0009,WALLET_SYN_0146,2024-11-26T08:56:39Z,2.085353,BTC_SIM,transfer,SRC_002357,0.35,,ACT_0047,CLUSTER_STRO_ACT_0025_ACT_0047,medium
TX_000034,WALLET_SYN_0139,WALLET_SYN_0099,2027-03-21T11:41:03Z,1.649442,USDT_SIM,transfer,SRC_000805,0.4,ACT_0002,,CLUSTER_STRO_ACT_0002_ACT_0057,medium
TX_000035,WALLET_SYN_0139,WALLET_SYN_0099,2027-03-25T11:41:03Z,1.823385,USDT_SIM,transfer,SRC_004464,0.66,ACT_0002,,CLUSTER_STRO_ACT_0002_ACT_0057,medium
TX_000036,WALLET_SYN_0139,WALLET_SYN_0099,2027-03-24T11:41:03Z,0.99719,USDT_SIM,transfer,SRC_002352,0.6,ACT_0002,,CLUSTER_STRO_ACT_0002_ACT_0057,medium
TX_000037,WALLET_SYN_0099,WALLET_SYN_0212,2027-04-15T11:41:03Z,0.028747,ETH_SIM,transfer,SRC_000561,0.5,,ACT_0057,CLUSTER_STRO_ACT_0002_ACT_0057,medium
TX_000038,WALLET_SYN_0099,WALLET_SYN_0212,2027-04-16T11:41:03Z,2.201481,USDT_SIM,transfer,SRC_003911,0.77,,ACT_0057,CLUSTER_STRO_ACT_0002_ACT_0057,medium
TX_000039,WALLET_SYN_0099,WALLET_SYN_0212,2027-04-13T11:41:03Z,1.501971,ETH_SIM,transfer,SRC_005594,0.8,,ACT_0057,CLUSTER_STRO_ACT_0002_ACT_0057,medium
TX_000040,WALLET_SYN_0099,WALLET_SYN_0212,2027-03-25T11:41:03Z,1.225956,USDT_SIM,transfer,SRC_002499,0.2,,ACT_0057,CLUSTER_STRO_ACT_0002_ACT_0057,medium
TX_000041,WALLET_SYN_0210,WALLET_SYN_0033,2026-03-08T21:22:52Z,2.479268,ETH_SIM,transfer,SRC_000412,0.69,ACT_0014,,CLUSTER_MEDI_ACT_0014_ACT_0059,medium
TX_000042,WALLET_SYN_0210,WALLET_SYN_0033,2026-03-02T21:22:52Z,0.354615,ETH_SIM,transfer,SRC_005194,0.87,ACT_0014,,CLUSTER_MEDI_ACT_0014_ACT_0059,medium
TX_000043,WALLET_SYN_0033,WALLET_SYN_0112,2026-03-13T21:22:52Z,0.711102,BTC_SIM,transfer,SRC_003810,0.54,,ACT_0059,CLUSTER_MEDI_ACT_0014_ACT_0059,medium
TX_000044,WALLET_SYN_0033,WALLET_SYN_0112,2026-03-24T21:22:52Z,0.549268,ETH_SIM,transfer,SRC_005526,0.33,,ACT_0059,CLUSTER_MEDI_ACT_0014_ACT_0059,medium
TX_000045,WALLET_SYN_0033,WALLET_SYN_0112,2026-03-16T21:22:52Z,2.478644,ETH_SIM,transfer,SRC_000006,0.45,,ACT_0059,CLUSTER_MEDI_ACT_0014_ACT_0059,medium
TX_000046,WALLET_SYN_0033,WALLET_SYN_0112,2026-03-23T21:22:52Z,0.673347,USDT_SIM,transfer,SRC_003588,0.39,,ACT_0059,CLUSTER_MEDI_ACT_0014_ACT_0059,medium
TX_000047,WALLET_SYN_0046,WALLET_SYN_0086,2026-08-01T10:13:36Z,0.262041,ETH_SIM,transfer,SRC_003490,0.81,ACT_0050,,CLUSTER_MEDI_ACT_0050_ACT_0030,medium
TX_000048,WALLET_SYN_0046,WALLET_SYN_0086,2026-08-05T10:13:36Z,0.821982,USDT_SIM,transfer,SRC_002156,0.75,ACT_0050,,CLUSTER_MEDI_ACT_0050_ACT_0030,medium
TX_000049,WALLET_SYN_0046,WALLET_SYN_0086,2026-07-27T10:13:36Z,2.38767,USDT_SIM,transfer,SRC_005514,0.86,ACT_0050,,CLUSTER_MEDI_ACT_0050_ACT_0030,medium
TX_000050,WALLET_SYN_0086,WALLET_SYN_0173,2026-08-24T10:13:36Z,0.761811,BTC_SIM,transfer,SRC_005592,0.45,,ACT_0030,CLUSTER_MEDI_ACT_0050_ACT_0030,medium
TX_000051,WALLET_SYN_0086,WALLET_SYN_0173,2026-07-31T10:13:36Z,2.058714,USDT_SIM,transfer,SRC_001487,0.26,,ACT_0030,CLUSTER_MEDI_ACT_0050_ACT_0030,medium
TX_000052,WALLET_SYN_0086,WALLET_SYN_0173,2026-08-18T10:13:36Z,1.340112,BTC_SIM,transfer,SRC_001839,0.49,,ACT_0030,CLUSTER_MEDI_ACT_0050_ACT_0030,medium
TX_000053,WALLET_SYN_0086,WALLET_SYN_0173,2026-08-11T10:13:36Z,2.211697,ETH_SIM,transfer,SRC_000037,0.36,,ACT_0030,CLUSTER_MEDI_ACT_0050_ACT_0030,medium
TX_000054,WALLET_SYN_0086,WALLET_SYN_0173,2026-08-07T10:13:36Z,2.491485,ETH_SIM,transfer,SRC_000007,0.38,,ACT_0030,CLUSTER_MEDI_ACT_0050_ACT_0030,medium
TX_000055,WALLET_SYN_0137,WALLET_SYN_0125,2025-10-14T19:31:51Z,1.602993,BTC_SIM,transfer,SRC_000705,0.47,ACT_0036,,CLUSTER_MEDI_ACT_0036_ACT_0016,medium
TX_000056,WALLET_SYN_0137,WALLET_SYN_0125,2025-10-16T19:31:51Z,2.011713,BTC_SIM,transfer,SRC_005057,0.44,ACT_0036,,CLUSTER_MEDI_ACT_0036_ACT_0016,medium
TX_000057,WALLET_SYN_0125,WALLET_SYN_0188,2025-10-31T19:31:51Z,1.673567,USDT_SIM,transfer,SRC_000768,0.35,,ACT_0016,CLUSTER_MEDI_ACT_0036_ACT_0016,medium
TX_000058,WALLET_SYN_0125,WALLET_SYN_0188,2025-11-02T19:31:51Z,1.374302,ETH_SIM,transfer,SRC_003544,0.72,,ACT_0016,CLUSTER_MEDI_ACT_0036_ACT_0016,medium
TX_000059,WALLET_SYN_0125,WALLET_SYN_0188,2025-10-25T19:31:51Z,0.750693,BTC_SIM,transfer,SRC_001086,0.66,,ACT_0016,CLUSTER_MEDI_ACT_0036_ACT_0016,medium
TX_000060,WALLET_SYN_0125,WALLET_SYN_0188,2025-10-29T19:31:51Z,1.442554,USDT_SIM,transfer,SRC_000859,0.9,,ACT_0016,CLUSTER_MEDI_ACT_0036_ACT_0016,medium
TX_000061,WALLET_SYN_0125,WALLET_SYN_0188,2025-10-25T19:31:51Z,1.59093,ETH_SIM,transfer,SRC_000244,0.71,,ACT_0016,CLUSTER_MEDI_ACT_0036_ACT_0016,medium
TX_000062,WALLET_SYN_0206,WALLET_SYN_0138,2025-12-06T00:56:31Z,0.932083,USDT_SIM,transfer,SRC_000932,0.49,ACT_0034,,CLUSTER_MEDI_ACT_0034_ACT_0045,medium
TX_000063,WALLET_SYN_0206,WALLET_SYN_0138,2025-11-30T00:56:31Z,0.437395,ETH_SIM,transfer,SRC_005699,0.55,ACT_0034,,CLUSTER_MEDI_ACT_0034_ACT_0045,medium
TX_000064,WALLET_SYN_0206,WALLET_SYN_0138,2025-12-07T00:56:31Z,2.124668,ETH_SIM,transfer,SRC_000058,0.87,ACT_0034,,CLUSTER_MEDI_ACT_0034_ACT_0045,medium
TX_000065,WALLET_SYN_0206,WALLET_SYN_0138,2025-12-01T00:56:31Z,2.400285,USDT_SIM,transfer,SRC_004542,0.28,ACT_0034,,CLUSTER_MEDI_ACT_0034_ACT_0045,medium
TX_000066,WALLET_SYN_0138,WALLET_SYN_0109,2025-12-10T00:56:31Z,0.632258,BTC_SIM,transfer,SRC_004833,0.19,,ACT_0045,CLUSTER_MEDI_ACT_0034_ACT_0045,medium
TX_000067,WALLET_SYN_0138,WALLET_SYN_0109,2025-12-08T00:56:31Z,1.01818,BTC_SIM,transfer,SRC_001161,0.73,,ACT_0045,CLUSTER_MEDI_ACT_0034_ACT_0045,medium
TX_000068,WALLET_SYN_0143,WALLET_SYN_0024,2024-08-02T08:56:39Z,1.513053,ETH_SIM,transfer,SRC_002416,0.46,ACT_0049,,CLUSTER_SHAR_ACT_0049_ACT_0042,medium
TX_000069,WALLET_SYN_0143,WALLET_SYN_0024,2024-08-02T08:56:39Z,0.125775,USDT_SIM,transfer,SRC_002574,0.26,ACT_0049,,CLUSTER_SHAR_ACT_0049_ACT_0042,medium
TX_000070,WALLET_SYN_0143,WALLET_SYN_0024,2024-08-04T08:56:39Z,0.744727,USDT_SIM,transfer,SRC_001110,0.2,ACT_0049,,CLUSTER_SHAR_ACT_0049_ACT_0042,medium
TX_000071,WALLET_SYN_0143,WALLET_SYN_0024,2024-08-06T08:56:39Z,1.488311,USDT_SIM,transfer,SRC_005435,0.85,ACT_0049,,CLUSTER_SHAR_ACT_0049_ACT_0042,medium
TX_000072,WALLET_SYN_0143,WALLET_SYN_0024,2024-08-09T08:56:39Z,2.044945,USDT_SIM,transfer,SRC_005572,0.46,ACT_0049,,CLUSTER_SHAR_ACT_0049_ACT_0042,medium
TX_000073,WALLET_SYN_0024,WALLET_SYN_0090,2024-08-22T08:56:39Z,1.006685,USDT_SIM,transfer,SRC_003385,0.78,,ACT_0042,CLUSTER_SHAR_ACT_0049_ACT_0042,medium
TX_000074,WALLET_SYN_0024,WALLET_SYN_0090,2024-08-05T08:56:39Z,0.74738,ETH_SIM,transfer,SRC_000402,0.52,,ACT_0042,CLUSTER_SHAR_ACT_0049_ACT_0042,medium
TX_000075,WALLET_SYN_0024,WALLET_SYN_0090,2024-08-12T08:56:39Z,1.290094,USDT_SIM,transfer,SRC_001017,0.53,,ACT_0042,CLUSTER_SHAR_ACT_0049_ACT_0042,medium
TX_000076,WALLET_SYN_0024,WALLET_SYN_0090,2024-08-18T08:56:39Z,1.963008,USDT_SIM,transfer,SRC_000484,0.49,,ACT_0042,CLUSTER_SHAR_ACT_0049_ACT_0042,medium
TX_000077,WALLET_SYN_0024,WALLET_SYN_0090,2024-08-17T08:56:39Z,2.100044,ETH_SIM,transfer,SRC_003841,0.21,,ACT_0042,CLUSTER_SHAR_ACT_0049_ACT_0042,medium
TX_000078,WALLET_SYN_0174,WALLET_SYN_0063,2025-04-15T19:31:51Z,2.017386,USDT_SIM,transfer,SRC_001343,0.69,ACT_0052,,CLUSTER_SHAR_ACT_0052_ACT_0019,medium
TX_000079,WALLET_SYN_0174,WALLET_SYN_0063,2025-04-13T19:31:51Z,2.241313,USDT_SIM,transfer,SRC_004954,0.68,ACT_0052,,CLUSTER_SHAR_ACT_0052_ACT_0019,medium
TX_000080,WALLET_SYN_0174,WALLET_SYN_0063,2025-04-23T19:31:51Z,1.252848,USDT_SIM,transfer,SRC_005484,0.73,ACT_0052,,CLUSTER_SHAR_ACT_0052_ACT_0019,medium
TX_000081,WALLET_SYN_0174,WALLET_SYN_0063,2025-04-18T19:31:51Z,2.379114,BTC_SIM,transfer,SRC_004551,0.62,ACT_0052,,CLUSTER_SHAR_ACT_0052_ACT_0019,medium
TX_000082,WALLET_SYN_0174,WALLET_SYN_0063,2025-04-18T19:31:51Z,1.185718,BTC_SIM,transfer,SRC_001659,0.7,ACT_0052,,CLUSTER_SHAR_ACT_0052_ACT_0019,medium
TX_000083,WALLET_SYN_0063,WALLET_SYN_0065,2025-05-02T19:31:51Z,1.514328,USDT_SIM,transfer,SRC_002455,0.35,,ACT_0019,CLUSTER_SHAR_ACT_0052_ACT_0019,medium
TX_000084,WALLET_SYN_0063,WALLET_SYN_0065,2025-04-23T19:31:51Z,0.676805,ETH_SIM,transfer,SRC_002847,0.73,,ACT_0019,CLUSTER_SHAR_ACT_0052_ACT_0019,medium
TX_000085,WALLET_SYN_0076,WALLET_SYN_0002,2026-08-14T00:00:00Z,1.121726,ETH_SIM,escrow_release,SRC_004370,0.83,ACT_0032,ACT_0037,,medium
TX_000086,WALLET_SYN_0121,WALLET_SYN_0055,2025-04-22T11:56:59Z,1.447135,USDT_SIM,transfer,SRC_005296,0.66,,ACT_0032,,medium
TX_000087,WALLET_SYN_0084,WALLET_SYN_0208,2026-08-21T00:00:00Z,1.399037,BTC_SIM,transfer,SRC_000169,0.76,ACT_0027,,,low
TX_000088,WALLET_SYN_0203,WALLET_SYN_0013,2026-08-06T00:00:00Z,0.897663,USDT_SIM,payment,SRC_005013,0.74,,,,medium
TX_000089,WALLET_SYN_0001,WALLET_SYN_0009,2026-03-15T10:20:14Z,0.12296,ETH_SIM,transfer,SRC_003802,0.57,,,,medium
TX_000090,WALLET_SYN_0071,WALLET_SYN_0173,2026-08-04T00:00:00Z,0.383546,ETH_SIM,payment,SRC_000310,0.71,,ACT_0030,,low
TX_000091,WALLET_SYN_0078,WALLET_SYN_0154,2026-07-21T14:13:34Z,0.135513,ETH_SIM,transfer,SRC_003797,0.37,ACT_0038,,TXCLUSTER_002,low
TX_000092,WALLET_SYN_0187,WALLET_SYN_0185,2026-03-14T11:56:59Z,0.823538,ETH_SIM,payment,SRC_003060,0.87,ACT_0011,,TXCLUSTER_003,low
TX_000093,WALLET_SYN_0182,WALLET_SYN_0097,2026-08-23T00:00:00Z,0.069001,USDT_SIM,consolidation,SRC_005540,0.89,,,TXCLUSTER_004,low
TX_000094,WALLET_SYN_0148,WALLET_SYN_0208,2026-04-30T19:15:51Z,0.422024,BTC_SIM,transfer,SRC_000707,0.31,,,,low
TX_000095,WALLET_SYN_0002,WALLET_SYN_0109,2026-02-19T00:39:48Z,0.698382,USDT_SIM,split,SRC_001046,0.58,ACT_0037,ACT_0045,,low
TX_000096,WALLET_SYN_0138,WALLET_SYN_0165,2026-08-24T00:00:00Z,2.315641,USDT_SIM,payment,SRC_001209,0.7,,ACT_0037,,low
TX_000097,WALLET_SYN_0011,WALLET_SYN_0152,2026-08-09T00:00:00Z,0.203641,BTC_SIM,transfer,SRC_000144,0.87,ACT_0043,ACT_0042,,low
TX_000098,WALLET_SYN_0133,WALLET_SYN_0200,2026-08-05T00:00:00Z,0.419466,ETH_SIM,transfer,SRC_004670,0.78,ACT_0034,,,medium
TX_000099,WALLET_SYN_0141,WALLET_SYN_0191,2026-08-05T00:00:00Z,0.154444,BTC_SIM,payment,SRC_001372,0.4,,ACT_0009,,low
TX_000100,WALLET_SYN_0060,WALLET_SYN_0218,2025-05-31T10:13:36Z,0.123763,ETH_SIM,payment,SRC_005053,0.53,,,,low
TX_000101,WALLET_SYN_0124,WALLET_SYN_0207,2026-08-18T00:00:00Z,0.145509,USDT_SIM,transfer,SRC_002534,0.21,,,,high
TX_000102,WALLET_SYN_0105,WALLET_SYN_0193,2026-08-13T00:00:00Z,0.0465,ETH_SIM,payment,SRC_003993,0.48,,,,medium
TX_000103,WALLET_SYN_0088,WALLET_SYN_0096,2026-08-07T00:00:00Z,0.030081,ETH_SIM,transfer,SRC_003085,0.47,,,,low
TX_000104,WALLET_SYN_0010,WALLET_SYN_0160,2026-08-24T00:00:00Z,0.269655,ETH_SIM,escrow_release,SRC_000831,0.83,,ACT_0039,,low
TX_000105,WALLET_SYN_0152,WALLET_SYN_0009,2026-08-06T00:00:00Z,0.095505,USDT_SIM,transfer,SRC_005552,0.73,ACT_0042,,,medium
TX_000106,WALLET_SYN_0001,WALLET_SYN_0067,2026-08-13T00:00:00Z,0.496634,ETH_SIM,transfer,SRC_003940,0.63,,ACT_0015,,medium
TX_000107,WALLET_SYN_0038,WALLET_SYN_0069,2025-11-03T11:28:43Z,0.109699,BTC_SIM,payment,SRC_001684,0.95,,,,medium
TX_000108,WALLET_SYN_0172,WALLET_SYN_0046,2026-08-25T00:00:00Z,0.005192,USDT_SIM,consolidation,SRC_002013,0.82,ACT_0021,ACT_0050,,medium
TX_000109,WALLET_SYN_0040,WALLET_SYN_0136,2025-12-03T00:47:04Z,0.121515,BTC_SIM,transfer,SRC_004626,0.62,,ACT_0048,,low
TX_000110,WALLET_SYN_0139,WALLET_SYN_0217,2026-08-16T00:00:00Z,1.47587,ETH_SIM,transfer,SRC_005234,0.52,ACT_0002,,,high
TX_000111,WALLET_SYN_0203,WALLET_SYN_0164,2025-04-17T15:47:40Z,0.023448,ETH_SIM,transfer,SRC_001409,0.55,,ACT_0043,,low
TX_000112,WALLET_SYN_0156,WALLET_SYN_0188,2026-08-27T00:00:00Z,0.307674,BTC_SIM,transfer,SRC_003299,0.69,ACT_0006,ACT_0016,,low
TX_000113,WALLET_SYN_0084,WALLET_SYN_0141,2026-08-30T00:00:00Z,0.215984,BTC_SIM,split,SRC_005481,0.45,ACT_0027,,,low
TX_000114,WALLET_SYN_0071,WALLET_SYN_0153,2026-08-29T00:00:00Z,0.074014,ETH_SIM,payment,SRC_000980,0.77,,ACT_0054,,low
TX_000115,WALLET_SYN_0096,WALLET_SYN_0167,2024-12-06T22:04:42Z,0.237398,USDT_SIM,transfer,SRC_005546,0.42,,ACT_0040,,low
TX_000116,WALLET_SYN_0146,WALLET_SYN_0010,2026-08-26T00:00:00Z,0.268849,ETH_SIM,transfer,SRC_000936,0.34,ACT_0047,,,medium
TX_000117,WALLET_SYN_0152,WALLET_SYN_0047,2026-08-03T00:00:00Z,1.120977,ETH_SIM,payment,SRC_000776,0.74,ACT_0042,ACT_0049,,low
TX_000118,WALLET_SYN_0010,WALLET_SYN_0196,2026-07-21T19:15:51Z,0.216253,USDT_SIM,escrow_release,SRC_001779,0.32,,,,low
TX_000119,WALLET_SYN_0127,WALLET_SYN_0020,2026-09-01T00:00:00Z,0.033995,USDT_SIM,transfer,SRC_001229,0.77,,,,high
TX_000120,WALLET_SYN_0028,WALLET_SYN_0108,2026-02-21T15:43:16Z,0.866995,BTC_SIM,split,SRC_000706,0.7,ACT_0007,ACT_0023,,low
TX_000121,WALLET_SYN_0141,WALLET_SYN_0023,2026-08-23T00:00:00Z,0.198675,BTC_SIM,payment,SRC_000747,0.96,,ACT_0044,,medium
TX_000122,WALLET_SYN_0117,WALLET_SYN_0055,2026-08-12T00:00:00Z,0.264624,USDT_SIM,payment,SRC_002791,0.8,,ACT_0032,TXCLUSTER_005,low
TX_000123,WALLET_SYN_0204,WALLET_SYN_0057,2026-08-23T00:00:00Z,0.102069,USDT_SIM,payment,SRC_005466,0.72,ACT_0041,ACT_0056,,medium
TX_000124,WALLET_SYN_0020,WALLET_SYN_0066,2025-11-03T21:36:22Z,3.885698,USDT_SIM,transfer,SRC_003976,0.56,,ACT_0030,,low
TX_000125,WALLET_SYN_0082,WALLET_SYN_0112,2025-08-02T10:59:17Z,0.181555,USDT_SIM,transfer,SRC_005263,0.47,,ACT_0059,,high
TX_000126,WALLET_SYN_0147,WALLET_SYN_0163,2026-06-20T02:17:28Z,1.833718,BTC_SIM,payment,SRC_001552,0.47,,ACT_0001,,high
TX_000127,WALLET_SYN_0193,WALLET_SYN_0011,2026-08-13T00:00:00Z,0.144005,USDT_SIM,transfer,SRC_002135,0.44,,ACT_0043,,medium
TX_000128,WALLET_SYN_0051,WALLET_SYN_0152,2026-05-06T10:20:14Z,1.043771,USDT_SIM,transfer,SRC_002759,0.58,ACT_0020,ACT_0042,,low
TX_000129,WALLET_SYN_0096,WALLET_SYN_0048,2026-08-09T00:00:00Z,0.104823,BTC_SIM,transfer,SRC_003203,0.38,,ACT_0050,,low
TX_000130,WALLET_SYN_0178,WALLET_SYN_0116,2026-08-29T00:00:00Z,0.038929,USDT_SIM,transfer,SRC_004034,0.62,ACT_0041,ACT_0058,,low
TX_000131,WALLET_SYN_0073,WALLET_SYN_0178,2026-04-29T02:17:28Z,0.165287,USDT_SIM,transfer,SRC_003502,0.57,,ACT_0041,,medium
TX_000132,WALLET_SYN_0083,WALLET_SYN_0118,2026-01-24T04:42:59Z,1.177296,ETH_SIM,transfer,SRC_001887,0.15,,,,low
TX_000133,WALLET_SYN_0080,WALLET_SYN_0010,2025-12-17T02:17:28Z,0.310674,BTC_SIM,consolidation,SRC_002913,0.8,,,,medium
TX_000134,WALLET_SYN_0003,WALLET_SYN_0162,2026-05-20T04:42:59Z,0.208039,USDT_SIM,transfer,SRC_001934,0.55,ACT_0005,,,medium
TX_000135,WALLET_SYN_0117,WALLET_SYN_0014,2024-10-25T21:22:52Z,0.47007,USDT_SIM,transfer,SRC_003297,0.18,,ACT_0004,,low
TX_000136,WALLET_SYN_0048,WALLET_SYN_0064,2025-09-19T18:21:03Z,0.04368,USDT_SIM,transfer,SRC_004292,0.44,ACT_0050,ACT_0041,,low
TX_000137,WALLET_SYN_0140,WALLET_SYN_0115,2025-08-30T22:04:42Z,0.069395,BTC_SIM,transfer,SRC_001299,0.4,,,,high
TX_000138,WALLET_SYN_0202,WALLET_SYN_0194,2025-12-14T15:47:40Z,0.586217,BTC_SIM,payment,SRC_004566,0.42,ACT_0046,ACT_0050,,low
