indicator_id,actor_id,indicator_type,indicator_value,source_id,observed_at,indicator_detail,match_target,confidence,status,evidence_id
INFRA_000013,ACT_0048,service_banner,banner-synth-apache-13,SRC_005823,2026-06-02T22:48:45Z,Service banner text for banner-synth-apache-13 closely matches banner text used elsewhere in INFRA_CLUSTER_26.,INFRA_CLUSTER_26,0.05,unverified,EVD_000013
INFRA_000014,ACT_0019,infrastructure_overlap,infra-host-0014.synthetic,SRC_000112,2026-07-03T00:39:48Z,Direct infrastructure overlap between infra-host-0014.synthetic and known INFRA_CLUSTER_19 nodes.,INFRA_CLUSTER_19,0.46,stale,EVD_000014
INFRA_000015,ACT_0005,server_banner,banner-synth-caddy-15,SRC_001696,2026-08-13T00:00:00Z,Server banner fingerprint 'banner-synth-caddy-15' matches prior observations in INFRA_CLUSTER_38.,INFRA_CLUSTER_38,0.3,retired,EVD_000015
INFRA_000016,,server_banner,banner-synth-caddy-16,SRC_005384,2024-02-26T20:28:06Z,Server banner fingerprint 'banner-synth-caddy-16' matches prior observations in INFRA_CLUSTER_19.,INFRA_CLUSTER_19,0.35,active,EVD_000016
INFRA_000017,ACT_0041,hosting_fingerprint,infra-host-0017.synthetic,SRC_001885,2025-11-02T08:56:39Z,Hosting fingerprint for infra-host-0017.synthetic consistent with other INFRA_CLUSTER_07 infrastructure.,INFRA_CLUSTER_07,0.52,unverified,EVD_000017
INFRA_000018,ACT_0008,certificate_metadata,infra-host-0018.synthetic,SRC_000119,2026-08-12T00:00:00Z,Certificate issuance pattern for infra-host-0018.synthetic aligns with INFRA_CLUSTER_10 timeline.,INFRA_CLUSTER_10,0.32,active,EVD_000018
INFRA_000019,ACT_0010,server_status_exposure,infra-host-0019.synthetic,SRC_001273,2026-08-13T00:00:00Z,"Simulated status endpoint exposure detected on infra-host-0019.synthetic (non-exploitative, metadata only).",INFRA_CLUSTER_24,0.53,active,EVD_000019
INFRA_000020,ACT_0017,hosting_fingerprint,infra-host-0020.synthetic,SRC_002339,2025-05-30T19:31:51Z,Hosting fingerprint for infra-host-0020.synthetic consistent with other INFRA_CLUSTER_08 infrastructure.,INFRA_CLUSTER_08,0.34,active,EVD_000020
INFRA_000021,ACT_0012,clearnet_association,infra-host-0021.synthetic,SRC_002420,2026-08-18T12:12:24Z,"Clearnet mirror association found for infra-host-0021.synthetic, weak confidence link to INFRA_CLUSTER_24.",INFRA_CLUSTER_24,0.09,active,EVD_000021
INFRA_000022,ACT_0023,certificate_metadata,infra-host-0022.synthetic,SRC_005260,2026-08-13T00:00:00Z,Certificate issuance pattern for infra-host-0022.synthetic aligns with INFRA_CLUSTER_26 timeline.,INFRA_CLUSTER_26,0.41,active,EVD_000022
INFRA_000023,ACT_0006,descriptor_inconsistency,infra-host-0023.synthetic,SRC_002220,2026-08-15T00:00:00Z,Descriptor metadata for infra-host-0023.synthetic shows inconsistency suggesting shared operator in INFRA_CLUSTER_15.,INFRA_CLUSTER_15,0.58,active,EVD_000023
INFRA_000024,ACT_0040,hosting_fingerprint,infra-host-0024.synthetic,SRC_003485,2026-08-12T00:00:00Z,Hosting fingerprint for infra-host-0024.synthetic consistent with other INFRA_CLUSTER_10 infrastructure.,INFRA_CLUSTER_10,0.29,unverified,EVD_000024
INFRA_000025,ACT_0034,hosting_fingerprint,infra-host-0025.synthetic,SRC_004642,2026-08-10T00:00:00Z,Hosting fingerprint for infra-host-0025.synthetic consistent with other INFRA_CLUSTER_28 infrastructure.,INFRA_CLUSTER_28,0.33,active,EVD_000025
INFRA_000026,ACT_0060,server_status_exposure,infra-host-0026.synthetic,SRC_001030,2025-05-28T00:39:48Z,"Simulated status endpoint exposure detected on infra-host-0026.synthetic (non-exploitative, metadata only).",INFRA_CLUSTER_19,0.32,active,EVD_000026
INFRA_000027,ACT_0005,hosting_fingerprint,infra-host-0027.synthetic,SRC_004907,2025-06-29T18:21:03Z,Hosting fingerprint for infra-host-0027.synthetic consistent with other INFRA_CLUSTER_38 infrastructure.,INFRA_CLUSTER_38,0.47,active,EVD_000027
INFRA_000028,ACT_0005,server_status_exposure,infra-host-0028.synthetic,SRC_000872,2026-04-17T18:08:11Z,"Simulated status endpoint exposure detected on infra-host-0028.synthetic (non-exploitative, metadata only).",INFRA_CLUSTER_38,0.23,retired,EVD_000028
INFRA_000029,ACT_0003,server_banner,banner-synth-caddy-29,SRC_003014,2024-10-22T02:17:28Z,Server banner fingerprint 'banner-synth-caddy-29' matches prior observations in INFRA_CLUSTER_03.,INFRA_CLUSTER_03,0.66,stale,EVD_000029
INFRA_000030,ACT_0040,hosting_fingerprint,infra-host-0030.synthetic,SRC_001215,2026-08-04T00:00:00Z,Hosting fingerprint for infra-host-0030.synthetic consistent with other INFRA_CLUSTER_10 infrastructure.,INFRA_CLUSTER_10,0.56,unverified,EVD_000030
INFRA_000031,ACT_0020,hosting_fingerprint,infra-host-0031.synthetic,SRC_001691,2026-08-21T00:00:00Z,Hosting fingerprint for infra-host-0031.synthetic consistent with other INFRA_CLUSTER_34 infrastructure.,INFRA_CLUSTER_34,0.31,retired,EVD_000031
INFRA_000032,,infrastructure_overlap,infra-host-0032.synthetic,SRC_005623,2024-10-16T20:28:06Z,Direct infrastructure overlap between infra-host-0032.synthetic and known INFRA_CLUSTER_23 nodes.,INFRA_CLUSTER_23,0.17,stale,EVD_000032
INFRA_000033,ACT_0047,descriptor_inconsistency,infra-host-0033.synthetic,SRC_001265,2025-02-08T19:31:51Z,Descriptor metadata for infra-host-0033.synthetic shows inconsistency suggesting shared operator in INFRA_CLUSTER_36.,INFRA_CLUSTER_36,0.52,unverified,EVD_000033
INFRA_000034,ACT_0059,tls_certificate,cert-synth-0034,SRC_004561,2026-08-30T00:00:00Z,Certificate metadata overlaps with synthetic domain group INFRA_CLUSTER_05.,INFRA_CLUSTER_05,0.23,active,EVD_000034
INFRA_000035,ACT_0002,server_banner,banner-synth-nginx-35,SRC_001697,2026-08-05T00:00:00Z,Server banner fingerprint 'banner-synth-nginx-35' matches prior observations in INFRA_CLUSTER_12.,INFRA_CLUSTER_12,0.83,unverified,EVD_000035
INFRA_000036,ACT_0050,clearnet_association,infra-host-0036.synthetic,SRC_001945,2024-12-29T10:13:36Z,"Clearnet mirror association found for infra-host-0036.synthetic, weak confidence link to INFRA_CLUSTER_25.",INFRA_CLUSTER_25,0.33,stale,EVD_000036
INFRA_000037,ACT_0017,server_status_exposure,infra-host-0037.synthetic,SRC_003199,2026-08-14T00:00:00Z,"Simulated status endpoint exposure detected on infra-host-0037.synthetic (non-exploitative, metadata only).",INFRA_CLUSTER_08,0.31,stale,EVD_000037
INFRA_000038,ACT_0019,hosting_fingerprint,infra-host-0038.synthetic,SRC_002661,2026-08-23T11:07:27Z,Hosting fingerprint for infra-host-0038.synthetic consistent with other INFRA_CLUSTER_19 infrastructure.,INFRA_CLUSTER_19,0.21,active,EVD_000038
INFRA_000039,ACT_0007,clearnet_association,infra-host-0039.synthetic,SRC_000603,2025-12-31T19:31:51Z,"Clearnet mirror association found for infra-host-0039.synthetic, weak confidence link to INFRA_CLUSTER_34.",INFRA_CLUSTER_34,0.45,active,EVD_000039
INFRA_000040,ACT_0027,server_banner,banner-synth-nginx-40,SRC_005627,2026-07-14T08:56:39Z,Server banner fingerprint 'banner-synth-nginx-40' matches prior observations in INFRA_CLUSTER_31.,INFRA_CLUSTER_31,0.22,active,EVD_000040
INFRA_000041,,infrastructure_overlap,infra-host-0041.synthetic,SRC_003189,2026-08-21T00:00:00Z,Direct infrastructure overlap between infra-host-0041.synthetic and known INFRA_CLUSTER_03 nodes.,INFRA_CLUSTER_03,0.2,active,EVD_000041
INFRA_000042,ACT_0047,dns_relationship,infra-host-0042.synthetic,SRC_001055,2026-08-09T00:00:00Z,DNS relationship links infra-host-0042.synthetic to other nodes in INFRA_CLUSTER_36.,INFRA_CLUSTER_36,0.25,unverified,EVD_000042
INFRA_000043,ACT_0025,domain,demo-node-0043.synthetic,SRC_005701,2026-08-20T18:21:03Z,Synthetic domain demo-node-0043.synthetic resolved via simulated crawler pass; associated with cluster INFRA_CLUSTER_36.,INFRA_CLUSTER_36,0.26,unverified,EVD_000043
INFRA_000044,ACT_0035,server_status_exposure,infra-host-0044.synthetic,SRC_003084,2026-05-08T11:28:43Z,"Simulated status endpoint exposure detected on infra-host-0044.synthetic (non-exploitative, metadata only).",INFRA_CLUSTER_15,0.48,retired,EVD_000044
INFRA_000045,ACT_0026,service_banner,banner-synth-caddy-45,SRC_003951,2026-08-23T00:00:00Z,Service banner text for banner-synth-caddy-45 closely matches banner text used elsewhere in INFRA_CLUSTER_10.,INFRA_CLUSTER_10,0.15,stale,EVD_000045
INFRA_000046,ACT_0019,dns_relationship,infra-host-0046.synthetic,SRC_003200,2025-09-29T17:09:54Z,DNS relationship links infra-host-0046.synthetic to other nodes in INFRA_CLUSTER_19.,INFRA_CLUSTER_19,0.13,stale,EVD_000046
INFRA_000047,ACT_0007,server_banner,banner-synth-apache-47,SRC_000460,2026-07-09T04:37:32Z,Server banner fingerprint 'banner-synth-apache-47' matches prior observations in INFRA_CLUSTER_34.,INFRA_CLUSTER_34,0.31,active,EVD_000047
INFRA_000048,,domain,demo-node-0048.synthetic,SRC_003022,2026-06-19T04:35:29Z,Synthetic domain demo-node-0048.synthetic resolved via simulated crawler pass; associated with cluster INFRA_CLUSTER_20.,INFRA_CLUSTER_20,0.05,active,EVD_000048
INFRA_000049,ACT_0039,domain,demo-node-0049.synthetic,SRC_002976,2026-08-22T00:00:00Z,Synthetic domain demo-node-0049.synthetic resolved via simulated crawler pass; associated with cluster INFRA_CLUSTER_18.,INFRA_CLUSTER_18,0.39,stale,EVD_000049
INFRA_000050,ACT_0055,infrastructure_overlap,infra-host-0050.synthetic,SRC_005355,2026-05-08T22:06:12Z,Direct infrastructure overlap between infra-host-0050.synthetic and known INFRA_CLUSTER_24 nodes.,INFRA_CLUSTER_24,0.43,active,EVD_000050
INFRA_000051,ACT_0012,certificate_metadata,infra-host-0051.synthetic,SRC_004456,2026-08-02T00:00:00Z,Certificate issuance pattern for infra-host-0051.synthetic aligns with INFRA_CLUSTER_24 timeline.,INFRA_CLUSTER_24,0.23,active,EVD_000051
INFRA_000052,ACT_0011,infrastructure_overlap,infra-host-0052.synthetic,SRC_005155,2026-08-11T00:00:00Z,Direct infrastructure overlap between infra-host-0052.synthetic and known INFRA_CLUSTER_03 nodes.,INFRA_CLUSTER_03,0.17,stale,EVD_000052
INFRA_000053,,service_banner,banner-synth-caddy-53,SRC_005767,2025-11-03T10:37:19Z,Service banner text for banner-synth-caddy-53 closely matches banner text used elsewhere in INFRA_CLUSTER_22.,INFRA_CLUSTER_22,0.18,retired,EVD_000053
INFRA_000054,ACT_0027,certificate_metadata,infra-host-0054.synthetic,SRC_002638,2025-05-13T10:37:19Z,Certificate issuance pattern for infra-host-0054.synthetic aligns with INFRA_CLUSTER_31 timeline.,INFRA_CLUSTER_31,0.44,active,EVD_000054
INFRA_000055,ACT_0056,clearnet_association,infra-host-0055.synthetic,SRC_004520,2026-08-15T00:00:00Z,"Clearnet mirror association found for infra-host-0055.synthetic, weak confidence link to INFRA_CLUSTER_16.",INFRA_CLUSTER_16,0.7,active,EVD_000055
INFRA_000056,ACT_0049,service_banner,banner-synth-apache-56,SRC_005609,2026-08-16T00:00:00Z,Service banner text for banner-synth-apache-56 closely matches banner text used elsewhere in INFRA_CLUSTER_12.,INFRA_CLUSTER_12,0.71,active,EVD_000056
INFRA_000057,ACT_0016,certificate_metadata,infra-host-0057.synthetic,SRC_004030,2026-08-19T00:00:00Z,Certificate issuance pattern for infra-host-0057.synthetic aligns with INFRA_CLUSTER_02 timeline.,INFRA_CLUSTER_02,0.21,unverified,EVD_000057
INFRA_000058,ACT_0060,clearnet_association,infra-host-0058.synthetic,SRC_002292,2026-08-15T00:00:00Z,"Clearnet mirror association found for infra-host-0058.synthetic, weak confidence link to INFRA_CLUSTER_19.",INFRA_CLUSTER_19,0.5,retired,EVD_000058
INFRA_000059,,certificate_metadata,infra-host-0059.synthetic,SRC_004828,2025-06-07T19:36:25Z,Certificate issuance pattern for infra-host-0059.synthetic aligns with INFRA_CLUSTER_20 timeline.,INFRA_CLUSTER_20,0.38,active,EVD_000059
INFRA_000060,ACT_0039,hosting_fingerprint,infra-host-0060.synthetic,SRC_003409,2025-12-30T13:12:42Z,Hosting fingerprint for infra-host-0060.synthetic consistent with other INFRA_CLUSTER_18 infrastructure.,INFRA_CLUSTER_18,0.78,active,EVD_000060
INFRA_000061,ACT_0059,tls_certificate,cert-synth-0061,SRC_001903,2025-01-31T20:05:11Z,Certificate metadata overlaps with synthetic domain group INFRA_CLUSTER_05.,INFRA_CLUSTER_05,0.71,active,EVD_000061
INFRA_000062,ACT_0052,hosting_fingerprint,infra-host-0062.synthetic,SRC_003452,2026-08-16T00:00:00Z,Hosting fingerprint for infra-host-0062.synthetic consistent with other INFRA_CLUSTER_23 infrastructure.,INFRA_CLUSTER_23,0.08,active,EVD_000062
INFRA_000063,ACT_0004,server_status_exposure,infra-host-0063.synthetic,SRC_001436,2026-08-17T00:00:00Z,"Simulated status endpoint exposure detected on infra-host-0063.synthetic (non-exploitative, metadata only).",INFRA_CLUSTER_38,0.39,active,EVD_000063
INFRA_000064,ACT_0015,server_banner,banner-synth-caddy-64,SRC_003254,2026-03-21T00:47:04Z,Server banner fingerprint 'banner-synth-caddy-64' matches prior observations in INFRA_CLUSTER_04.,INFRA_CLUSTER_04,0.54,active,EVD_000064
INFRA_000065,ACT_0050,dns_relationship,infra-host-0065.synthetic,SRC_000897,2026-08-02T00:00:00Z,DNS relationship links infra-host-0065.synthetic to other nodes in INFRA_CLUSTER_25.,INFRA_CLUSTER_25,0.29,unverified,EVD_000065
INFRA_000066,ACT_0033,descriptor_inconsistency,infra-host-0066.synthetic,SRC_003243,2025-11-04T07:17:31Z,Descriptor metadata for infra-host-0066.synthetic shows inconsistency suggesting shared operator in INFRA_CLUSTER_08.,INFRA_CLUSTER_08,0.23,stale,EVD_000066
INFRA_000067,ACT_0037,hosting_fingerprint,infra-host-0067.synthetic,SRC_005674,2024-12-30T18:40:31Z,Hosting fingerprint for infra-host-0067.synthetic consistent with other INFRA_CLUSTER_33 infrastructure.,INFRA_CLUSTER_33,0.73,active,EVD_000067
INFRA_000068,ACT_0022,clearnet_association,infra-host-0068.synthetic,SRC_001842,2026-08-29T00:00:00Z,"Clearnet mirror association found for infra-host-0068.synthetic, weak confidence link to INFRA_CLUSTER_06.",INFRA_CLUSTER_06,0.49,active,EVD_000068
INFRA_000069,ACT_0033,server_status_exposure,infra-host-0069.synthetic,SRC_001259,2026-08-08T00:00:00Z,"Simulated status endpoint exposure detected on infra-host-0069.synthetic (non-exploitative, metadata only).",INFRA_CLUSTER_08,0.44,active,EVD_000069
INFRA_000070,ACT_0032,descriptor_inconsistency,infra-host-0070.synthetic,SRC_004081,2026-05-12T19:15:51Z,Descriptor metadata for infra-host-0070.synthetic shows inconsistency suggesting shared operator in INFRA_CLUSTER_40.,INFRA_CLUSTER_40,0.06,active,EVD_000070
INFRA_000071,ACT_0033,descriptor_inconsistency,infra-host-0071.synthetic,SRC_005534,2026-08-26T20:32:16Z,Descriptor metadata for infra-host-0071.synthetic shows inconsistency suggesting shared operator in INFRA_CLUSTER_08.,INFRA_CLUSTER_08,0.54,stale,EVD_000071
INFRA_000072,ACT_0002,clearnet_association,infra-host-0072.synthetic,SRC_000489,2026-08-26T15:36:14Z,"Clearnet mirror association found for infra-host-0072.synthetic, weak confidence link to INFRA_CLUSTER_12.",INFRA_CLUSTER_12,0.72,stale,EVD_000072
INFRA_000073,,descriptor_inconsistency,infra-host-0073.synthetic,SRC_001320,2026-08-31T00:00:00Z,Descriptor metadata for infra-host-0073.synthetic shows inconsistency suggesting shared operator in INFRA_CLUSTER_12.,INFRA_CLUSTER_12,0.54,active,EVD_000073
INFRA_000074,ACT_0031,hosting_fingerprint,infra-host-0074.synthetic,SRC_005221,2025-09-28T15:43:16Z,Hosting fingerprint for infra-host-0074.synthetic consistent with other INFRA_CLUSTER_35 infrastructure.,INFRA_CLUSTER_35,0.49,active,EVD_000074
INFRA_000075,ACT_0012,server_status_exposure,infra-host-0075.synthetic,SRC_003224,2025-09-16T17:09:54Z,"Simulated status endpoint exposure detected on infra-host-0075.synthetic (non-exploitative, metadata only).",INFRA_CLUSTER_24,0.26,active,EVD_000075
INFRA_000076,,clearnet_association,infra-host-0076.synthetic,SRC_001001,2026-08-07T00:00:00Z,"Clearnet mirror association found for infra-host-0076.synthetic, weak confidence link to INFRA_CLUSTER_07.",INFRA_CLUSTER_07,0.59,active,EVD_000076
INFRA_000077,ACT_0059,service_banner,banner-synth-caddy-77,SRC_002381,2026-08-04T00:00:00Z,Service banner text for banner-synth-caddy-77 closely matches banner text used elsewhere in INFRA_CLUSTER_05.,INFRA_CLUSTER_05,0.34,active,EVD_000077
INFRA_000078,ACT_0057,service_banner,banner-synth-apache-78,SRC_001080,2024-06-18T01:12:14Z,Service banner text for banner-synth-apache-78 closely matches banner text used elsewhere in INFRA_CLUSTER_12.,INFRA_CLUSTER_12,0.48,unverified,EVD_000078
INFRA_000079,ACT_0009,server_status_exposure,infra-host-0079.synthetic,SRC_001741,2026-08-15T00:00:00Z,"Simulated status endpoint exposure detected on infra-host-0079.synthetic (non-exploitative, metadata only).",INFRA_CLUSTER_38,0.39,active,EVD_000079
INFRA_000080,ACT_0046,certificate_metadata,infra-host-0080.synthetic,SRC_003029,2026-01-16T10:59:17Z,Certificate issuance pattern for infra-host-0080.synthetic aligns with INFRA_CLUSTER_34 timeline.,INFRA_CLUSTER_34,0.34,unverified,EVD_000080
INFRA_000081,ACT_0043,tls_certificate,cert-synth-0081,SRC_001034,2026-08-23T00:00:00Z,Certificate metadata overlaps with synthetic domain group INFRA_CLUSTER_23.,INFRA_CLUSTER_23,0.22,active,EVD_000081
INFRA_000082,ACT_0052,dns_relationship,infra-host-0082.synthetic,SRC_005413,2025-04-30T10:13:36Z,DNS relationship links infra-host-0082.synthetic to other nodes in INFRA_CLUSTER_23.,INFRA_CLUSTER_23,0.18,active,EVD_000082
INFRA_000083,ACT_0011,domain,demo-node-0083.synthetic,SRC_005354,2026-08-31T00:00:00Z,Synthetic domain demo-node-0083.synthetic resolved via simulated crawler pass; associated with cluster INFRA_CLUSTER_03.,INFRA_CLUSTER_03,0.7,stale,EVD_000083
INFRA_000084,ACT_0007,certificate_metadata,infra-host-0084.synthetic,SRC_004130,2026-02-13T22:51:37Z,Certificate issuance pattern for infra-host-0084.synthetic aligns with INFRA_CLUSTER_34 timeline.,INFRA_CLUSTER_34,0.25,active,EVD_000084
INFRA_000085,ACT_0041,server_status_exposure,infra-host-0085.synthetic,SRC_000685,2026-08-10T00:00:00Z,"Simulated status endpoint exposure detected on infra-host-0085.synthetic (non-exploitative, metadata only).",INFRA_CLUSTER_07,0.22,unverified,EVD_000085
INFRA_000086,ACT_0021,server_status_exposure,infra-host-0086.synthetic,SRC_001860,2026-08-05T00:00:00Z,"Simulated status endpoint exposure detected on infra-host-0086.synthetic (non-exploitative, metadata only).",INFRA_CLUSTER_22,0.41,active,EVD_000086
INFRA_000087,ACT_0006,descriptor_inconsistency,infra-host-0087.synthetic,SRC_001978,2026-08-01T16:19:50Z,Descriptor metadata for infra-host-0087.synthetic shows inconsistency suggesting shared operator in INFRA_CLUSTER_15.,INFRA_CLUSTER_15,0.2,active,EVD_000087
INFRA_000088,ACT_0004,tls_certificate,cert-synth-0088,SRC_003257,2026-08-04T00:00:00Z,Certificate metadata overlaps with synthetic domain group INFRA_CLUSTER_38.,INFRA_CLUSTER_38,0.58,stale,EVD_000088
INFRA_000089,ACT_0013,clearnet_association,infra-host-0089.synthetic,SRC_005580,2025-11-01T14:13:34Z,"Clearnet mirror association found for infra-host-0089.synthetic, weak confidence link to INFRA_CLUSTER_05.",INFRA_CLUSTER_05,0.48,stale,EVD_000089
INFRA_000090,ACT_0014,domain,demo-node-0090.synthetic,SRC_001027,2026-08-19T00:00:00Z,Synthetic domain demo-node-0090.synthetic resolved via simulated crawler pass; associated with cluster INFRA_CLUSTER_21.,INFRA_CLUSTER_21,0.05,retired,EVD_000090
INFRA_000091,ACT_0001,dns_relationship,infra-host-0091.synthetic,SRC_002421,2025-10-17T14:13:34Z,DNS relationship links infra-host-0091.synthetic to other nodes in INFRA_CLUSTER_08.,INFRA_CLUSTER_08,0.05,active,EVD_000091
INFRA_000092,,server_banner,banner-synth-apache-92,SRC_001668,2026-04-20T01:20:48Z,Server banner fingerprint 'banner-synth-apache-92' matches prior observations in INFRA_CLUSTER_34.,INFRA_CLUSTER_34,0.37,active,EVD_000092
INFRA_000093,ACT_0027,server_banner,banner-synth-apache-93,SRC_004981,2026-05-23T00:56:31Z,Server banner fingerprint 'banner-synth-apache-93' matches prior observations in INFRA_CLUSTER_31.,INFRA_CLUSTER_31,0.26,unverified,EVD_000093
INFRA_000094,ACT_0027,clearnet_association,infra-host-0094.synthetic,SRC_003223,2026-03-14T14:13:34Z,"Clearnet mirror association found for infra-host-0094.synthetic, weak confidence link to INFRA_CLUSTER_31.",INFRA_CLUSTER_31,0.21,stale,EVD_000094
INFRA_000095,ACT_0017,infrastructure_overlap,infra-host-0095.synthetic,SRC_000798,2026-03-24T02:17:28Z,Direct infrastructure overlap between infra-host-0095.synthetic and known INFRA_CLUSTER_08 nodes.,INFRA_CLUSTER_08,0.5,stale,EVD_000095
INFRA_000096,ACT_0027,server_banner,banner-synth-nginx-96,SRC_003422,2024-07-05T04:37:32Z,Server banner fingerprint 'banner-synth-nginx-96' matches prior observations in INFRA_CLUSTER_31.,INFRA_CLUSTER_31,0.56,retired,EVD_000096
INFRA_000097,ACT_0009,service_banner,banner-synth-nginx-97,SRC_005401,2026-04-22T18:40:31Z,Service banner text for banner-synth-nginx-97 closely matches banner text used elsewhere in INFRA_CLUSTER_38.,INFRA_CLUSTER_38,0.17,active,EVD_000097
INFRA_000098,ACT_0036,server_banner,banner-synth-nginx-98,SRC_005326,2024-09-30T04:37:32Z,Server banner fingerprint 'banner-synth-nginx-98' matches prior observations in INFRA_CLUSTER_22.,INFRA_CLUSTER_22,0.26,stale,EVD_000098
INFRA_000099,,infrastructure_overlap,infra-host-0099.synthetic,SRC_005416,2026-08-22T00:00:00Z,Direct infrastructure overlap between infra-host-0099.synthetic and known INFRA_CLUSTER_07 nodes.,INFRA_CLUSTER_07,0.49,active,EVD_000099
INFRA_000100,ACT_0054,server_status_exposure,infra-host-0100.synthetic,SRC_003624,2026-08-31T00:00:00Z,"Simulated status endpoint exposure detected on infra-host-0100.synthetic (non-exploitative, metadata only).",INFRA_CLUSTER_08,0.26,unverified,EVD_000100
INFRA_000101,,descriptor_inconsistency,infra-host-0101.synthetic,SRC_002560,2026-01-07T21:47:44Z,Descriptor metadata for infra-host-0101.synthetic shows inconsistency suggesting shared operator in INFRA_CLUSTER_03.,INFRA_CLUSTER_03,0.57,retired,EVD_000101
INFRA_000102,ACT_0037,dns_relationship,infra-host-0102.synthetic,SRC_001746,2026-08-12T00:00:00Z,DNS relationship links infra-host-0102.synthetic to other nodes in INFRA_CLUSTER_33.,INFRA_CLUSTER_33,0.11,unverified,EVD_000102
INFRA_000103,ACT_0021,infrastructure_overlap,infra-host-0103.synthetic,SRC_002635,2026-08-07T00:00:00Z,Direct infrastructure overlap between infra-host-0103.synthetic and known INFRA_CLUSTER_22 nodes.,INFRA_CLUSTER_22,0.64,retired,EVD_000103
INFRA_000104,,clearnet_association,infra-host-0104.synthetic,SRC_004096,2025-03-16T07:17:31Z,"Clearnet mirror association found for infra-host-0104.synthetic, weak confidence link to INFRA_CLUSTER_25.",INFRA_CLUSTER_25,0.19,active,EVD_000104
INFRA_000105,ACT_0021,descriptor_inconsistency,infra-host-0105.synthetic,SRC_002110,2026-06-18T15:47:40Z,Descriptor metadata for infra-host-0105.synthetic shows inconsistency suggesting shared operator in INFRA_CLUSTER_22.,INFRA_CLUSTER_22,0.47,stale,EVD_000105
INFRA_000106,ACT_0043,server_banner,banner-synth-caddy-07,SRC_002651,2026-08-26T00:00:00Z,Server banner fingerprint 'banner-synth-caddy-07' matches prior observations in INFRA_CLUSTER_23.,INFRA_CLUSTER_23,0.27,active,EVD_000106
INFRA_000107,ACT_0060,domain,demo-node-0107.synthetic,SRC_002545,2026-08-09T00:00:00Z,Synthetic domain demo-node-0107.synthetic resolved via simulated crawler pass; associated with cluster INFRA_CLUSTER_19.,INFRA_CLUSTER_19,0.2,unverified,EVD_000107
