relationship_id,source_entity_type,source_entity_id,relationship_type,target_entity_type,target_entity_id,source_id,timestamp,confidence,evidence_id,relationship_status
REL_000063,actor,ACT_0025,USES,handle,HANDLE_0063,SRC_004096,2026-09-03T00:00:00Z,0.71,EVD_100063,confirmed
REL_000064,actor,ACT_0025,USES,handle,HANDLE_0064,SRC_003106,2026-10-27T00:00:00Z,0.72,EVD_100064,confirmed
REL_000065,actor,ACT_0026,USES,handle,HANDLE_0065,SRC_002208,2025-07-15T18:43:51Z,0.59,EVD_100065,confirmed
REL_000066,actor,ACT_0026,USES,handle,HANDLE_0066,SRC_005656,2025-09-05T18:43:51Z,0.92,EVD_100066,confirmed
REL_000067,actor,ACT_0026,USES,handle,HANDLE_0067,SRC_004490,2026-02-20T18:43:51Z,0.51,EVD_100067,confirmed
REL_000068,actor,ACT_0026,USES,handle,HANDLE_0068,SRC_000183,2026-10-22T00:00:00Z,0.4,EVD_100068,confirmed
REL_000069,actor,ACT_0027,USES,handle,HANDLE_0069,SRC_004443,2024-04-18T01:12:14Z,0.53,EVD_100069,confirmed
REL_000070,actor,ACT_0027,USES,handle,HANDLE_0070,SRC_001219,2024-07-25T01:12:14Z,0.94,EVD_100070,confirmed
REL_000071,actor,ACT_0028,USES,handle,HANDLE_0071,SRC_000096,2024-12-20T00:39:48Z,0.67,EVD_100071,confirmed
REL_000072,actor,ACT_0029,USES,handle,HANDLE_0072,SRC_001633,2024-05-03T22:51:37Z,0.85,EVD_100072,confirmed
REL_000073,actor,ACT_0029,USES,handle,HANDLE_0073,SRC_000695,2025-05-08T22:51:37Z,0.7,EVD_100073,confirmed
REL_000074,actor,ACT_0030,USES,handle,HANDLE_0074,SRC_002487,2024-06-05T21:36:22Z,0.83,EVD_100074,confirmed
REL_000075,actor,ACT_0030,USES,handle,HANDLE_0075,SRC_000516,2025-01-08T21:36:22Z,0.69,EVD_100075,confirmed
REL_000076,actor,ACT_0030,USES,handle,HANDLE_0076,SRC_000440,2025-10-03T21:36:22Z,0.58,EVD_100076,confirmed
REL_000077,actor,ACT_0031,USES,handle,HANDLE_0077,SRC_005678,2025-03-07T19:36:25Z,0.85,EVD_100077,confirmed
REL_000078,actor,ACT_0031,USES,handle,HANDLE_0078,SRC_005755,2025-08-19T19:36:25Z,0.69,EVD_100078,confirmed
REL_000079,actor,ACT_0031,USES,handle,HANDLE_0079,SRC_003066,2026-03-31T19:36:25Z,0.69,EVD_100079,confirmed
REL_000080,actor,ACT_0032,USES,handle,HANDLE_0080,SRC_005690,2025-07-20T17:55:46Z,0.56,EVD_100080,confirmed
REL_000081,actor,ACT_0032,USES,handle,HANDLE_0081,SRC_005440,2026-07-28T17:55:46Z,0.8,EVD_100081,confirmed
REL_000082,actor,ACT_0033,USES,handle,HANDLE_0082,SRC_000477,2025-07-29T01:20:48Z,0.77,EVD_100082,confirmed
REL_000083,actor,ACT_0034,USES,handle,HANDLE_0083,SRC_003582,2024-11-21T10:59:17Z,0.86,EVD_100083,confirmed
REL_000084,actor,ACT_0034,USES,handle,HANDLE_0084,SRC_002686,2025-09-30T10:59:17Z,0.76,EVD_100084,confirmed
REL_000085,actor,ACT_0034,USES,handle,HANDLE_0085,SRC_000607,2026-10-12T00:00:00Z,0.87,EVD_100085,confirmed
REL_000086,actor,ACT_0034,USES,handle,HANDLE_0086,SRC_003896,2026-10-03T00:00:00Z,0.79,EVD_100086,confirmed
REL_000087,actor,ACT_0035,USES,handle,HANDLE_0087,SRC_001581,2024-04-20T22:04:42Z,0.67,EVD_100087,confirmed
REL_000088,actor,ACT_0035,USES,handle,HANDLE_0088,SRC_003494,2025-06-14T22:04:42Z,0.57,EVD_100088,confirmed
REL_000089,actor,ACT_0035,USES,handle,HANDLE_0089,SRC_002440,2026-10-26T00:00:00Z,0.89,EVD_100089,confirmed
REL_000090,actor,ACT_0035,USES,handle,HANDLE_0090,SRC_003946,2026-10-05T00:00:00Z,0.92,EVD_100090,confirmed
REL_000091,actor,ACT_0035,USES,handle,HANDLE_0091,SRC_001298,2026-10-29T00:00:00Z,0.83,EVD_100091,confirmed
REL_000092,actor,ACT_0036,USES,handle,HANDLE_0092,SRC_002141,2026-04-09T18:10:40Z,0.59,EVD_100092,confirmed
REL_000093,actor,ACT_0036,USES,handle,HANDLE_0093,SRC_003603,2026-09-12T00:00:00Z,0.69,EVD_100093,confirmed
REL_000094,actor,ACT_0036,USES,handle,HANDLE_0094,SRC_002798,2026-10-20T00:00:00Z,0.65,EVD_100094,confirmed
REL_000095,actor,ACT_0037,USES,handle,HANDLE_0095,SRC_000853,2024-09-10T20:05:11Z,0.65,EVD_100095,confirmed
REL_000096,actor,ACT_0037,USES,handle,HANDLE_0096,SRC_000843,2025-01-03T20:05:11Z,0.76,EVD_100096,confirmed
REL_000097,actor,ACT_0038,USES,handle,HANDLE_0097,SRC_003336,2025-08-12T11:07:27Z,0.98,EVD_100097,confirmed
REL_000098,actor,ACT_0038,USES,handle,HANDLE_0098,SRC_004048,2025-11-09T11:07:27Z,0.54,EVD_100098,confirmed
REL_000099,actor,ACT_0039,USES,handle,HANDLE_0099,SRC_003739,2026-05-15T04:35:29Z,0.83,EVD_100099,confirmed
REL_000100,actor,ACT_0040,USES,handle,HANDLE_0100,SRC_005333,2025-05-18T18:08:11Z,0.79,EVD_100100,confirmed
REL_000101,actor,ACT_0040,USES,handle,HANDLE_0101,SRC_000743,2026-01-04T18:08:11Z,0.81,EVD_100101,confirmed
REL_000102,actor,ACT_0040,USES,handle,HANDLE_0102,SRC_005519,2026-09-28T00:00:00Z,0.83,EVD_100102,confirmed
REL_000103,actor,ACT_0040,USES,handle,HANDLE_0103,SRC_004949,2026-10-10T00:00:00Z,0.64,EVD_100103,confirmed
REL_000104,actor,ACT_0040,USES,handle,HANDLE_0104,SRC_000585,2026-09-29T00:00:00Z,0.46,EVD_100104,confirmed
REL_000105,actor,ACT_0041,USES,handle,HANDLE_0105,SRC_005299,2024-12-21T19:31:51Z,0.71,EVD_100105,confirmed
REL_000106,actor,ACT_0042,USES,handle,HANDLE_0106,SRC_001898,2025-05-05T00:56:31Z,0.7,EVD_100106,confirmed
REL_000107,actor,ACT_0042,USES,handle,HANDLE_0107,SRC_001998,2025-06-23T00:56:31Z,0.68,EVD_100107,confirmed
REL_000108,actor,ACT_0042,USES,handle,HANDLE_0108,SRC_003335,2025-10-28T00:56:31Z,0.44,EVD_100108,confirmed
REL_000109,actor,ACT_0043,USES,handle,HANDLE_0109,SRC_002780,2025-02-19T22:06:12Z,0.71,EVD_100109,confirmed
REL_000110,actor,ACT_0043,USES,handle,HANDLE_0110,SRC_004300,2026-06-03T22:06:12Z,0.8,EVD_100110,confirmed
REL_000111,actor,ACT_0044,USES,handle,HANDLE_0111,SRC_004621,2024-11-23T18:00:37Z,0.89,EVD_100111,confirmed
REL_000112,actor,ACT_0044,USES,handle,HANDLE_0112,SRC_000077,2026-03-09T18:00:37Z,0.83,EVD_100112,confirmed
REL_000113,actor,ACT_0044,USES,handle,HANDLE_0113,SRC_005478,2026-09-11T18:00:37Z,0.68,EVD_100113,confirmed
REL_000114,actor,ACT_0045,USES,handle,HANDLE_0114,SRC_001464,2024-11-26T07:17:31Z,0.85,EVD_100114,confirmed
REL_000115,actor,ACT_0045,USES,handle,HANDLE_0115,SRC_003048,2025-04-29T07:17:31Z,0.87,EVD_100115,confirmed
REL_000116,actor,ACT_0045,USES,handle,HANDLE_0116,SRC_002950,2025-11-11T07:17:31Z,0.84,EVD_100116,confirmed
REL_000117,actor,ACT_0046,USES,handle,HANDLE_0117,SRC_000841,2025-09-06T14:13:34Z,0.61,EVD_100117,confirmed
REL_000118,actor,ACT_0046,USES,handle,HANDLE_0118,SRC_005031,2026-01-20T14:13:34Z,0.73,EVD_100118,confirmed
REL_000119,actor,ACT_0046,USES,handle,HANDLE_0119,SRC_000953,2026-06-30T14:13:34Z,0.89,EVD_100119,confirmed
REL_000120,actor,ACT_0046,USES,handle,HANDLE_0120,SRC_001427,2026-10-10T00:00:00Z,0.91,EVD_100120,confirmed
REL_000121,actor,ACT_0047,USES,handle,HANDLE_0121,SRC_004864,2024-08-09T22:38:20Z,0.86,EVD_100121,confirmed
REL_000122,actor,ACT_0047,USES,handle,HANDLE_0122,SRC_002153,2024-11-15T22:38:20Z,0.66,EVD_100122,confirmed
REL_000123,actor,ACT_0048,USES,handle,HANDLE_0123,SRC_004889,2024-08-04T21:47:44Z,0.75,EVD_100123,confirmed
REL_000124,actor,ACT_0049,USES,handle,HANDLE_0124,SRC_003512,2026-05-22T01:19:15Z,0.63,EVD_100124,confirmed
REL_000125,actor,ACT_0050,USES,handle,HANDLE_0125,SRC_000666,2026-06-27T02:56:43Z,0.75,EVD_100125,confirmed
REL_000126,actor,ACT_0050,USES,handle,HANDLE_0126,SRC_002098,2026-10-09T00:00:00Z,0.84,EVD_100126,confirmed
REL_000127,actor,ACT_0050,USES,handle,HANDLE_0127,SRC_002950,2026-10-31T00:00:00Z,0.53,EVD_100127,confirmed
REL_000128,actor,ACT_0050,USES,handle,HANDLE_0128,SRC_005800,2026-10-20T00:00:00Z,0.59,EVD_100128,confirmed
REL_000129,actor,ACT_0050,USES,handle,HANDLE_0129,SRC_005541,2026-09-23T00:00:00Z,0.89,EVD_100129,confirmed
REL_000130,actor,ACT_0051,USES,handle,HANDLE_0130,SRC_005519,2026-06-25T11:41:03Z,0.94,EVD_100130,confirmed
REL_000131,actor,ACT_0051,USES,handle,HANDLE_0131,SRC_004239,2026-10-28T00:00:00Z,0.61,EVD_100131,confirmed
REL_000132,actor,ACT_0051,USES,handle,HANDLE_0132,SRC_001101,2026-09-02T00:00:00Z,0.55,EVD_100132,confirmed
REL_000133,actor,ACT_0051,USES,handle,HANDLE_0133,SRC_003734,2026-10-03T00:00:00Z,0.83,EVD_100133,confirmed
REL_000134,actor,ACT_0052,USES,handle,HANDLE_0134,SRC_005448,2025-07-16T08:12:20Z,0.88,EVD_100134,confirmed
REL_000135,actor,ACT_0052,USES,handle,HANDLE_0135,SRC_001001,2026-03-22T08:12:20Z,0.73,EVD_100135,confirmed
REL_000136,actor,ACT_0052,USES,handle,HANDLE_0136,SRC_004635,2026-10-07T00:00:00Z,0.93,EVD_100136,confirmed
REL_000137,actor,ACT_0053,USES,handle,HANDLE_0137,SRC_003794,2024-08-02T21:22:52Z,0.66,EVD_100137,confirmed
REL_000138,actor,ACT_0053,USES,handle,HANDLE_0138,SRC_004681,2025-02-17T21:22:52Z,0.86,EVD_100138,confirmed
REL_000139,actor,ACT_0053,USES,handle,HANDLE_0139,SRC_001063,2026-03-19T21:22:52Z,0.65,EVD_100139,confirmed
REL_000140,actor,ACT_0054,USES,handle,HANDLE_0140,SRC_005413,2026-02-05T15:36:14Z,0.52,EVD_100140,confirmed
REL_000141,actor,ACT_0054,USES,handle,HANDLE_0141,SRC_003088,2026-06-20T15:36:14Z,0.71,EVD_100141,confirmed
REL_000142,actor,ACT_0054,USES,handle,HANDLE_0142,SRC_005012,2026-09-21T00:00:00Z,0.67,EVD_100142,confirmed
REL_000143,actor,ACT_0055,USES,handle,HANDLE_0143,SRC_000219,2024-03-14T04:37:32Z,0.94,EVD_100143,confirmed
REL_000144,actor,ACT_0055,USES,handle,HANDLE_0144,SRC_002095,2024-07-27T04:37:32Z,0.8,EVD_100144,confirmed
REL_000145,actor,ACT_0056,USES,handle,HANDLE_0145,SRC_004190,2024-08-25T10:20:14Z,0.84,EVD_100145,confirmed
REL_000146,actor,ACT_0056,USES,handle,HANDLE_0146,SRC_000910,2025-03-29T10:20:14Z,0.78,EVD_100146,confirmed
REL_000147,actor,ACT_0056,USES,handle,HANDLE_0147,SRC_002816,2026-01-05T10:20:14Z,0.94,EVD_100147,confirmed
REL_000148,actor,ACT_0056,USES,handle,HANDLE_0148,SRC_004916,2026-04-19T10:20:14Z,0.42,EVD_100148,confirmed
REL_000149,actor,ACT_0056,USES,handle,HANDLE_0149,SRC_004636,2026-10-08T00:00:00Z,0.55,EVD_100149,confirmed
REL_000150,actor,ACT_0057,USES,handle,HANDLE_0150,SRC_002567,2025-10-17T19:15:51Z,0.77,EVD_100150,confirmed
REL_000151,actor,ACT_0057,USES,handle,HANDLE_0151,SRC_003472,2026-09-16T00:00:00Z,0.81,EVD_100151,confirmed
REL_000152,actor,ACT_0058,USES,handle,HANDLE_0152,SRC_005315,2025-08-20T17:09:54Z,0.74,EVD_100152,confirmed
REL_000153,actor,ACT_0058,USES,handle,HANDLE_0153,SRC_004250,2025-12-27T17:09:54Z,0.78,EVD_100153,confirmed
REL_000154,actor,ACT_0059,USES,handle,HANDLE_0154,SRC_004317,2026-07-14T16:19:50Z,0.8,EVD_100154,confirmed
REL_000155,actor,ACT_0059,USES,handle,HANDLE_0155,SRC_004414,2026-10-10T00:00:00Z,0.82,EVD_100155,confirmed
REL_000156,actor,ACT_0059,USES,handle,HANDLE_0156,SRC_001945,2026-09-20T00:00:00Z,0.91,EVD_100156,confirmed
REL_000157,actor,ACT_0060,USES,handle,HANDLE_0157,SRC_000069,2026-04-01T22:48:45Z,0.76,EVD_100157,confirmed
REL_000158,actor,ACT_0001,USES_PGP,pgp,PGP_SYN_0094,SRC_000274,2024-03-07T20:28:06Z,0.76,EVD_100158,confirmed
REL_000159,actor,ACT_0017,USES_PGP,pgp,PGP_SYN_0094,SRC_000638,2025-01-10T11:28:43Z,0.9,EVD_100159,confirmed
REL_000160,actor,ACT_0025,USES_PGP,pgp,PGP_SYN_0054,SRC_003690,2026-07-08T13:33:59Z,0.74,EVD_100160,confirmed
REL_000161,actor,ACT_0047,USES_PGP,pgp,PGP_SYN_0054,SRC_004585,2024-09-11T22:38:20Z,0.93,EVD_100161,confirmed
REL_000162,actor,ACT_0002,USES_PGP,pgp,PGP_SYN_0091,SRC_003387,2025-01-18T10:13:48Z,0.96,EVD_100162,confirmed
REL_000163,actor,ACT_0057,USES_PGP,pgp,PGP_SYN_0091,SRC_004225,2026-01-13T19:15:51Z,0.81,EVD_100163,confirmed
REL_000164,actor,ACT_0003,USES_PGP,pgp,PGP_SYN_0048,SRC_000957,2024-09-06T18:21:03Z,0.72,EVD_100164,confirmed
REL_000165,actor,ACT_0004,USES_PGP,pgp,PGP_SYN_0087,SRC_001798,2026-06-22T04:44:17Z,0.8,EVD_100165,confirmed
REL_000166,actor,ACT_0006,USES_PGP,pgp,PGP_SYN_0024,SRC_003915,2024-02-22T08:56:39Z,0.79,EVD_100166,confirmed
REL_000167,actor,ACT_0007,USES_PGP,pgp,PGP_SYN_0081,SRC_001253,2024-08-08T13:12:42Z,0.5,EVD_100167,confirmed
REL_000168,actor,ACT_0008,USES_PGP,pgp,PGP_SYN_0078,SRC_003281,2025-01-29T10:13:36Z,0.58,EVD_100168,confirmed
REL_000169,actor,ACT_0009,USES_PGP,pgp,PGP_SYN_0062,SRC_002214,2026-08-14T04:53:06Z,0.59,EVD_100169,confirmed
REL_000170,actor,ACT_0010,USES_PGP,pgp,PGP_SYN_0005,SRC_001825,2026-08-03T20:43:57Z,0.78,EVD_100170,confirmed
REL_000171,actor,ACT_0011,USES_PGP,pgp,PGP_SYN_0075,SRC_001794,2026-05-17T12:53:27Z,0.93,EVD_100171,confirmed
REL_000172,actor,ACT_0012,USES_PGP,pgp,PGP_SYN_0053,SRC_002557,2025-02-23T10:37:19Z,0.95,EVD_100172,confirmed
REL_000173,actor,ACT_0013,USES_PGP,pgp,PGP_SYN_0088,SRC_001755,2026-08-18T09:25:01Z,0.83,EVD_100173,confirmed
REL_000174,actor,ACT_0014,USES_PGP,pgp,PGP_SYN_0090,SRC_000945,2024-01-16T02:17:28Z,0.96,EVD_100174,confirmed
REL_000175,actor,ACT_0015,USES_PGP,pgp,PGP_SYN_0059,SRC_000333,2025-12-11T12:12:24Z,0.9,EVD_100175,confirmed
REL_000176,actor,ACT_0016,USES_PGP,pgp,PGP_SYN_0095,SRC_001016,2025-06-04T15:47:40Z,0.51,EVD_100176,confirmed
REL_000177,actor,ACT_0016,USES_PGP,pgp,PGP_SYN_0099,SRC_000723,2025-03-18T15:47:40Z,0.5,EVD_100177,confirmed
REL_000178,actor,ACT_0018,USES_PGP,pgp,PGP_SYN_0085,SRC_003515,2024-08-10T18:40:31Z,0.89,EVD_100178,confirmed
REL_000179,actor,ACT_0019,USES_PGP,pgp,PGP_SYN_0044,SRC_004178,2025-09-07T04:42:59Z,0.82,EVD_100179,confirmed
REL_000180,actor,ACT_0021,USES_PGP,pgp,PGP_SYN_0002,SRC_002274,2026-10-22T20:32:16Z,0.63,EVD_100180,confirmed
REL_000181,actor,ACT_0022,USES_PGP,pgp,PGP_SYN_0014,SRC_001567,2024-04-12T11:56:59Z,0.67,EVD_100181,confirmed
REL_000182,actor,ACT_0024,USES_PGP,pgp,PGP_SYN_0098,SRC_003599,2025-10-10T00:47:04Z,0.69,EVD_100182,confirmed
REL_000183,actor,ACT_0026,USES_PGP,pgp,PGP_SYN_0072,SRC_002410,2025-10-05T18:43:51Z,0.57,EVD_100183,confirmed
REL_000184,actor,ACT_0027,USES_PGP,pgp,PGP_SYN_0080,SRC_000106,2024-05-28T01:12:14Z,0.78,EVD_100184,confirmed
REL_000185,actor,ACT_0028,USES_PGP,pgp,PGP_SYN_0001,SRC_005507,2025-01-27T00:39:48Z,0.97,EVD_100185,confirmed
REL_000186,actor,ACT_0031,USES_PGP,pgp,PGP_SYN_0017,SRC_001642,2025-05-30T19:36:25Z,0.82,EVD_100186,confirmed
REL_000187,actor,ACT_0032,USES_PGP,pgp,PGP_SYN_0013,SRC_005302,2025-08-05T17:55:46Z,0.85,EVD_100187,confirmed
REL_000188,actor,ACT_0033,USES_PGP,pgp,PGP_SYN_0025,SRC_001871,2025-09-09T01:20:48Z,0.54,EVD_100188,confirmed
REL_000189,actor,ACT_0034,USES_PGP,pgp,PGP_SYN_0069,SRC_000295,2024-12-05T10:59:17Z,0.76,EVD_100189,confirmed
REL_000190,actor,ACT_0035,USES_PGP,pgp,PGP_SYN_0058,SRC_002782,2024-05-02T22:04:42Z,0.67,EVD_100190,confirmed
REL_000191,actor,ACT_0036,USES_PGP,pgp,PGP_SYN_0009,SRC_005062,2026-04-21T18:10:40Z,0.58,EVD_100191,confirmed
REL_000192,actor,ACT_0036,USES_PGP,pgp,PGP_SYN_0045,SRC_005167,2026-06-01T18:10:40Z,0.82,EVD_100192,confirmed
REL_000193,actor,ACT_0037,USES_PGP,pgp,PGP_SYN_0050,SRC_000400,2024-10-10T20:05:11Z,0.73,EVD_100193,confirmed
REL_000194,actor,ACT_0038,USES_PGP,pgp,PGP_SYN_0067,SRC_001874,2025-11-09T11:07:27Z,0.84,EVD_100194,confirmed
REL_000195,actor,ACT_0039,USES_PGP,pgp,PGP_SYN_0066,SRC_004312,2026-06-29T04:35:29Z,0.92,EVD_100195,confirmed
REL_000196,actor,ACT_0040,USES_PGP,pgp,PGP_SYN_0036,SRC_000674,2025-06-22T18:08:11Z,0.57,EVD_100196,confirmed
